regime,experiment,model,config_name,n_features,roc_auc_mean,roc_auc_std,f1_mean,sensitivity_mean,specificity_mean,average_precision_mean
sleep_only,advanced_respiratory_spo2,XGBoost,config_4,236,0.6303732303643836,0.060704004513534394,0.37803476299955324,0.4824742067222165,0.7187397435086647,0.34579359728238634
all_epochs,advanced_spo2,XGBoost,config_4,84,0.6278774895876138,0.08528069373748104,0.31115437979723426,0.4236872611090636,0.7168010614862359,0.29232421727382746
sleep_only,advanced_respiratory_spo2,XGBoost,config_3,236,0.6276333699242983,0.058949727382632384,0.3687236989452662,0.4759112395622466,0.7181670223887574,0.33979145030453045
all_epochs,advanced_spo2,XGBoost,config_6,84,0.6259541807657365,0.08326431732082677,0.30719833463660257,0.4128546177554397,0.7288073286748988,0.28755827504168974
all_epochs,advanced_spo2,XGBoost,config_3,84,0.6248119838952523,0.08496433607380847,0.3101326482419492,0.42129689446963703,0.7176503700129456,0.29000319345074044
all_epochs,advanced_late_fusion,XGBoost,config_6,260,0.6226014753534298,0.0899315611156228,0.33160951148935686,0.38285867419951003,0.789529834677363,0.30921053618112604
all_epochs,advanced_late_fusion,XGBoost,config_2,260,0.621874175059633,0.08650272894907168,0.3205278218222486,0.34885081538159146,0.8166514912798128,0.30812529182855797
all_epochs,advanced_late_fusion,XGBoost,config_3,260,0.6218612321717663,0.09301013086469317,0.3370174453200788,0.40186745014559594,0.769483617146552,0.31320810766367096
sleep_only,advanced_respiratory_spo2,XGBoost,config_6,236,0.6215859460088253,0.05997273666496991,0.3524789131809885,0.4444204692082385,0.734327806470357,0.33196607904708003
all_epochs,advanced_respiratory_spo2,XGBoost,config_4,236,0.6214606435939711,0.08213368335224216,0.3359629832546235,0.4247659218301682,0.7455825174921598,0.2958219498156603
sleep_only,advanced_spo2,XGBoost,config_3,84,0.6213549353238609,0.07823920270648177,0.3579934392382891,0.47474246739699966,0.7091127277721494,0.3182333308742258
all_epochs,advanced_late_fusion,XGBoost,config_4,260,0.6212686575290322,0.09491422766577942,0.33873186283554446,0.4073410460839234,0.7660703057685996,0.3148269545830063
all_epochs,advanced_respiratory_spo2,XGBoost,config_6,236,0.6210096499891454,0.08518841471682904,0.33593829399794506,0.41467415583329714,0.7572758551508956,0.30031070480340993
all_epochs,advanced_respiratory_spo2,XGBoost,config_3,236,0.6209740468497963,0.08327512583675852,0.32985721933426254,0.42037046404889883,0.7399766234105607,0.2964496544472733
sleep_only,advanced_spo2,XGBoost,config_4,84,0.6209636537716381,0.07833551207292959,0.3600455515263357,0.4785055452657289,0.7076156604918302,0.3200120917899585
all_epochs,advanced_late_fusion,XGBoost,config_5,260,0.6207252254485475,0.08504259015927519,0.2975102727972544,0.29501567103432047,0.8507085650317403,0.30411723852879846
sleep_only,advanced_spo2,XGBoost,config_6,84,0.619253579034357,0.07961589276629714,0.35306950449730573,0.46683757079859883,0.7148293176917557,0.32177449067088437
all_epochs,advanced_late_fusion,XGBoost,config_1,260,0.6181878396551834,0.08315287544250036,0.3184275223822785,0.34450360309336164,0.8136526192668958,0.3038050726776796
all_epochs,advanced_respiratory_spo2,XGBoost,config_2,236,0.6174652634187132,0.07515693868836304,0.3198428933861826,0.3901105667220218,0.7626731895634526,0.289269479121126
all_epochs,advanced_spo2,XGBoost,config_2,84,0.6158735596435803,0.08425973440004787,0.309102519115203,0.41026568080848885,0.7317841716041975,0.27884003542219676
all_epochs,advanced_respiratory_spo2,XGBoost,config_1,236,0.6155084938418768,0.07275751707717423,0.32841036378044824,0.40077246355635393,0.7600634647541091,0.28997002749803713
sleep_only,advanced_respiratory_spo2,XGBoost,config_1,236,0.6138791081145369,0.06031458937044407,0.34463955961465464,0.42682816146649316,0.7456445426716088,0.3176591480276539
sleep_only,advanced_respiratory_spo2,XGBoost,config_2,236,0.6137172712430078,0.06172717735894529,0.3441008684669024,0.42688411882338484,0.7459267893265047,0.3202368048801418
all_epochs,advanced_spo2,XGBoost,config_1,84,0.6131033788622817,0.07322539899333214,0.310237619462238,0.4018990141184914,0.7373191346217316,0.2745834236354962
sleep_only,advanced_respiratory,XGBoost,config_1,152,0.6111468953777262,0.050235024957608974,0.3442809292997985,0.416282024700984,0.7368179874622067,0.3046409414615445
all_epochs,advanced_spo2,XGBoost,config_5,84,0.6108128302968396,0.08481553240220716,0.30633456290537514,0.39179192005267194,0.7462610820942949,0.2792916457614917
all_epochs,advanced_respiratory_spo2,XGBoost,config_5,236,0.610631698381489,0.07555567472043055,0.31172371734153903,0.36067846902781214,0.7867791975521888,0.2878812464897143
sleep_only,advanced_respiratory,XGBoost,config_3,152,0.6103605533972392,0.050038720925388205,0.3466829754257011,0.4507579640049018,0.6946701191594543,0.30667815156383227
sleep_only,advanced_spo2,XGBoost,config_2,84,0.6100795826586035,0.08241566157229548,0.3502086527704584,0.4590607736507004,0.717316075757978,0.31246769512084743
sleep_only,advanced_respiratory_spo2,XGBoost,config_5,236,0.6095141190581841,0.04544091930174052,0.3281641819526897,0.3774001375843537,0.7771027201121512,0.2995698909717418
sleep_only,advanced_respiratory,XGBoost,config_2,152,0.6081418412638964,0.04764544947899591,0.3359134797885389,0.4035917213817779,0.7352162378942857,0.3019924769962523
sleep_only,advanced_respiratory,XGBoost,config_4,152,0.607126074926485,0.053274374438076436,0.34831290391162584,0.4520587856898941,0.6957596476773912,0.30271295279868465
sleep_only,advanced_respiratory,XGBoost,config_6,152,0.6055491629004932,0.05901763331277529,0.33495132175672976,0.42167523808468504,0.7143888143504198,0.3017788384778675
sleep_only,advanced_spo2,XGBoost,config_1,84,0.6054907481672386,0.10151609546948039,0.35244045904730603,0.461341182045245,0.7145076079855763,0.31331237888086366
all_epochs,advanced_respiratory,XGBoost,config_3,152,0.6053156007178311,0.07434199337956073,0.3345185638608001,0.435120766227765,0.7140707644588946,0.2914320962561122
sleep_only,advanced_respiratory,XGBoost,config_5,152,0.6049965398270185,0.0492710696482937,0.3233298088761995,0.3552470801861471,0.7836749381366499,0.2950676824374674
all_epochs,advanced_respiratory,XGBoost,config_4,152,0.6034732006971074,0.07669487220241948,0.33169697295299816,0.4348120739600073,0.7099621069703049,0.28944399430068596
sleep_only,advanced_spo2,XGBoost,config_5,84,0.6011728285004023,0.09180240399720443,0.34619028964538057,0.43690799078541254,0.7298457871047004,0.3052273671572824
all_epochs,advanced_full,XGBoost,config_2,260,0.6008656977653922,0.09421150521523279,0.31919991446707374,0.3725332892878192,0.7795275483268294,0.2904797708982848
all_epochs,advanced_full,XGBoost,config_6,260,0.6006764594595169,0.0929231554873453,0.32447667948240316,0.38650066669288907,0.7740157221171685,0.294680107058617
all_epochs,advanced_full,XGBoost,config_4,260,0.6001176719126735,0.0895787155175811,0.3271294633172583,0.4024636620212549,0.7507440741140423,0.29608116706086246
all_epochs,advanced_full,XGBoost,config_3,260,0.598603282821921,0.08580473140705468,0.3278242916170135,0.4003472827067614,0.7532407518630813,0.2924941615028964
all_epochs,advanced_respiratory,XGBoost,config_6,152,0.5982976153927462,0.07276872359917666,0.325832243429938,0.41106998200387856,0.7267735038635593,0.285931497301522
all_epochs,advanced_respiratory,XGBoost,config_1,152,0.5979869515168088,0.0664612604332654,0.32110089446009926,0.39553694210928053,0.7368071010373071,0.28253887025962515
all_epochs,advanced_respiratory,XGBoost,config_2,152,0.5971929602629669,0.06908895099526678,0.3194931518319737,0.3912886097877107,0.740449524017429,0.28353091957087306
all_epochs,advanced_full,XGBoost,config_1,260,0.5955412271323544,0.08988415488180353,0.3117398677731415,0.3616908788079085,0.7852839194233728,0.28288657152114255
sleep_only,advanced_late_fusion,XGBoost,config_1,260,0.5938573786992555,0.048834850321301936,0.3245672125717195,0.35894177115081477,0.7870645881942095,0.29901761479395933
