regime,experiment,model,config_name,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
all_epochs,advanced_full,XGBoost,config_1,max_f1,0.45,0.6734477949309864,0.31006071118820466,0.5153772224891879,0.7130058324815104,0.3871841155234657,11858,4773,2017,2145,0.22838305497069822,
all_epochs,advanced_full,XGBoost,config_1,max_youden,0.45,0.6734477949309864,0.31006071118820466,0.5153772224891879,0.7130058324815104,0.3871841155234657,11858,4773,2017,2145,0.22838305497069822,
all_epochs,advanced_full,XGBoost,config_1,sensitivity_ge_0.70_max_specificity,0.3,0.458231135478286,0.23442757795558214,0.753243632868813,0.3844026216102459,0.3575705731394354,6393,10238,1027,3135,0.13764625447905887,
all_epochs,advanced_full,XGBoost,config_2,max_f1,0.45,0.6673880632905305,0.3081103678929766,0.5312349831811629,0.7014611268113764,0.3900158758158405,11666,4965,1951,2211,0.2326961099925393,
all_epochs,advanced_full,XGBoost,config_2,max_youden,0.45,0.6673880632905305,0.3081103678929766,0.5312349831811629,0.7014611268113764,0.3900158758158405,11666,4965,1951,2211,0.2326961099925393,
all_epochs,advanced_full,XGBoost,config_2,sensitivity_ge_0.70_max_specificity,0.3,0.45202712451305727,0.23368684636912654,0.7623738587217683,0.3743611328242439,0.3577226606538895,6226,10405,989,3173,0.1367349915460121,
all_epochs,advanced_full,XGBoost,config_3,max_f1,0.5,0.704564035973645,0.3327140685694984,0.47333012974531474,0.762431603631772,0.3907567192303878,12680,3951,2192,1970,0.23576173337708672,
all_epochs,advanced_full,XGBoost,config_3,max_youden,0.5,0.704564035973645,0.3327140685694984,0.47333012974531474,0.762431603631772,0.3907567192303878,12680,3951,2192,1970,0.23576173337708672,
all_epochs,advanced_full,XGBoost,config_3,sensitivity_ge_0.70_max_specificity,0.35,0.4630404463040446,0.23551627766447616,0.7491590581451225,0.3914376766279839,0.35837020860870067,6510,10121,1044,3118,0.1405967347731063,
all_epochs,advanced_full,XGBoost,config_4,max_f1,0.5,0.704323570432357,0.33372404554588075,0.47885631907736664,0.7607480007215441,0.39332938622459046,12652,3979,2169,1993,0.23960431979891084,
all_epochs,advanced_full,XGBoost,config_4,max_youden,0.5,0.704323570432357,0.33372404554588075,0.47885631907736664,0.7607480007215441,0.39332938622459046,12652,3979,2169,1993,0.23960431979891084,
all_epochs,advanced_full,XGBoost,config_4,sensitivity_ge_0.70_max_specificity,0.35,0.45904871831866495,0.23579418344519015,0.7597308986064392,0.3838013348565931,0.3598907352606419,6383,10248,1000,3162,0.14353223346303223,
all_epochs,advanced_full,XGBoost,config_5,max_f1,0.4,0.6448804886259799,0.2913752913752914,0.5406054781355117,0.6709758884011785,0.3786603837091888,11159,5472,1912,2250,0.21158136653669013,
all_epochs,advanced_full,XGBoost,config_5,max_youden,0.4,0.6448804886259799,0.2913752913752914,0.5406054781355117,0.6709758884011785,0.3786603837091888,11159,5472,1912,2250,0.21158136653669013,
all_epochs,advanced_full,XGBoost,config_5,sensitivity_ge_0.70_max_specificity,0.25,0.4420718511037368,0.23130824243299863,0.7693416626621816,0.3601707654380374,0.35567897806164955,5990,10641,960,3202,0.1295124281002189,
all_epochs,advanced_full,XGBoost,config_6,max_f1,0.5,0.7177415476362238,0.3464099334173115,0.4625180201826045,0.7816126510732968,0.39613128922728674,12999,3632,2237,1925,0.24413067125590127,
all_epochs,advanced_full,XGBoost,config_6,max_youden,0.5,0.7177415476362238,0.3464099334173115,0.4625180201826045,0.7816126510732968,0.39613128922728674,12999,3632,2237,1925,0.24413067125590127,
all_epochs,advanced_full,XGBoost,config_6,sensitivity_ge_0.70_max_specificity,0.35,0.4921367767998846,0.24371094375901298,0.7308986064392119,0.43238530455174073,0.36553713049747655,7191,9440,1120,3042,0.16328391099095274,
all_epochs,advanced_late_fusion,XGBoost,config_1,max_f1,0.45,0.641369691723176,0.2964793082149475,0.5766458433445459,0.6575671937947207,0.39161295586195644,10936,5695,1762,2400,0.23421303713926678,
all_epochs,advanced_late_fusion,XGBoost,config_1,max_youden,0.45,0.641369691723176,0.2964793082149475,0.5766458433445459,0.6575671937947207,0.39161295586195644,10936,5695,1762,2400,0.23421303713926678,
all_epochs,advanced_late_fusion,XGBoost,config_1,sensitivity_ge_0.70_max_specificity,0.4,0.5237820420333766,0.25653206650831356,0.7265737626141279,0.4730322890986712,0.37918495297805643,7867,8764,1138,3024,0.1996060517127991,
all_epochs,advanced_late_fusion,XGBoost,config_2,max_f1,0.45,0.6472851440388593,0.30258899676375406,0.5840941854877463,0.6630990319283266,0.39865529681862905,11028,5603,1731,2431,0.24719321741607292,
all_epochs,advanced_late_fusion,XGBoost,config_2,max_youden,0.45,0.6472851440388593,0.30258899676375406,0.5840941854877463,0.6630990319283266,0.39865529681862905,11028,5603,1731,2431,0.24719321741607292,
all_epochs,advanced_late_fusion,XGBoost,config_2,sensitivity_ge_0.70_max_specificity,0.4,0.5235896696003463,0.25722738799661876,0.7311388755406055,0.47164932956526967,0.38056528264132067,7844,8787,1119,3043,0.20278820510587514,
all_epochs,advanced_late_fusion,XGBoost,config_3,max_f1,0.5,0.7188476891261483,0.3513418079096045,0.478135511773186,0.779087246707955,0.4050478322817016,12957,3674,2172,1990,0.25722275848114107,
all_epochs,advanced_late_fusion,XGBoost,config_3,max_youden,0.5,0.7188476891261483,0.3513418079096045,0.478135511773186,0.779087246707955,0.4050478322817016,12957,3674,2172,1990,0.25722275848114107,
all_epochs,advanced_late_fusion,XGBoost,config_3,sensitivity_ge_0.70_max_specificity,0.4,0.45900062521040735,0.24064993046915026,0.7900048053820279,0.37616499308520235,0.3689200561009818,6256,10375,874,3288,0.16616979846723012,
all_epochs,advanced_late_fusion,XGBoost,config_4,max_f1,0.5,0.717933920069254,0.3516808918306915,0.4851033157135992,0.7762010702904215,0.4077552256891851,12909,3722,2143,2019,0.26130438600402073,
all_epochs,advanced_late_fusion,XGBoost,config_4,max_youden,0.5,0.717933920069254,0.3516808918306915,0.4851033157135992,0.7762010702904215,0.4077552256891851,12909,3722,2143,2019,0.26130438600402073,
all_epochs,advanced_late_fusion,XGBoost,config_4,sensitivity_ge_0.70_max_specificity,0.4,0.4512095416726783,0.23903808769529844,0.7976934166266219,0.3645000300643377,0.36784665669491995,6062,10569,842,3320,0.1621934466909596,
all_epochs,advanced_late_fusion,XGBoost,config_5,max_f1,0.45,0.6809022267109123,0.3160244011307841,0.5103315713599231,0.7235884793458001,0.39033354773499956,12034,4597,2038,2124,0.23392005070572308,
all_epochs,advanced_late_fusion,XGBoost,config_5,max_youden,0.45,0.6809022267109123,0.3160244011307841,0.5103315713599231,0.7235884793458001,0.39033354773499956,12034,4597,2038,2124,0.23392005070572308,
all_epochs,advanced_late_fusion,XGBoost,config_5,sensitivity_ge_0.70_max_specificity,0.35,0.46943682970230366,0.24361845051500225,0.7842383469485824,0.39065600384823523,0.371753986332574,6497,10134,898,3264,0.1748943507968177,
all_epochs,advanced_late_fusion,XGBoost,config_6,max_f1,0.5,0.7304862213244842,0.3628234398782344,0.45819317635752044,0.7986290662016716,0.4049692078997664,13282,3349,2255,1907,0.25682224255919195,
all_epochs,advanced_late_fusion,XGBoost,config_6,max_youden,0.5,0.7304862213244842,0.3628234398782344,0.45819317635752044,0.7986290662016716,0.4049692078997664,13282,3349,2255,1907,0.25682224255919195,
all_epochs,advanced_late_fusion,XGBoost,config_6,sensitivity_ge_0.70_max_specificity,0.4,0.4744866060693503,0.24558104550582927,0.7844786160499759,0.3969093860862245,0.3740619808672739,6601,10030,897,3265,0.18138800213620043,
all_epochs,advanced_respiratory,XGBoost,config_1,max_f1,0.4,0.5519646034723225,0.2572989263514786,0.6564151850072081,0.5258252660693885,0.3696887686062246,8745,7886,1430,2732,0.1822404510765967,
all_epochs,advanced_respiratory,XGBoost,config_1,max_youden,0.45,0.6192949550329437,0.2762279446828803,0.5567035079288803,0.6349588118573748,0.3692430278884462,10560,6071,1845,2317,0.19166231978625525,
all_epochs,advanced_respiratory,XGBoost,config_1,sensitivity_ge_0.70_max_specificity,0.35,0.4779974029721541,0.24029804408568767,0.7438731379144642,0.4114605255246227,0.3632523759239704,6843,9788,1066,3096,0.15533366343908694,
all_epochs,advanced_respiratory,XGBoost,config_2,max_f1,0.4,0.5530226518539894,0.25874388867995485,0.6612205670350793,0.525945523420119,0.3719421543451818,8747,7884,1410,2752,0.1871660904551984,
all_epochs,advanced_respiratory,XGBoost,config_2,max_youden,0.45,0.622180541528399,0.2781114848630466,0.5562229697260932,0.6386867897300222,0.3708153131507288,10622,6009,1847,2315,0.19490975945611533,
all_epochs,advanced_respiratory,XGBoost,config_2,sensitivity_ge_0.70_max_specificity,0.35,0.48069061703457894,0.24191039203484754,0.747236905333974,0.4139859298899645,0.36549535785638737,6885,9746,1052,3110,0.16122283522393843,
all_epochs,advanced_respiratory,XGBoost,config_3,max_f1,0.45,0.5983744529408935,0.2761568878914182,0.620855358000961,0.5927484817509471,0.3822767956209779,9858,6773,1578,2584,0.213603839751908,
all_epochs,advanced_respiratory,XGBoost,config_3,max_youden,0.45,0.5983744529408935,0.2761568878914182,0.620855358000961,0.5927484817509471,0.3822767956209779,9858,6773,1578,2584,0.213603839751908,
all_epochs,advanced_respiratory,XGBoost,config_3,sensitivity_ge_0.70_max_specificity,0.4,0.5100755061799644,0.24914647347822466,0.7188851513695339,0.4578197342312549,0.37004514253911325,7614,9017,1170,2992,0.17670488560078867,
all_epochs,advanced_respiratory,XGBoost,config_4,max_f1,0.45,0.5959697975280143,0.27435324177579046,0.6191734742912062,0.5901629487102399,0.38022869789745484,9815,6816,1585,2577,0.20933642300144606,
all_epochs,advanced_respiratory,XGBoost,config_4,max_youden,0.45,0.5959697975280143,0.27435324177579046,0.6191734742912062,0.5901629487102399,0.38022869789745484,9815,6816,1585,2577,0.20933642300144606,
all_epochs,advanced_respiratory,XGBoost,config_4,sensitivity_ge_0.70_max_specificity,0.4,0.5052181022459482,0.2482327798783495,0.7256126862085536,0.45006313510913354,0.3699167074963253,7485,9146,1142,3020,0.17567582131768722,
all_epochs,advanced_respiratory,XGBoost,config_5,max_f1,0.35,0.5312364738133025,0.25188804975566415,0.6811629024507448,0.4937165534243281,0.36777583187390545,8211,8420,1327,2835,0.17487945587507303,
all_epochs,advanced_respiratory,XGBoost,config_5,max_youden,0.4,0.5935170490068773,0.26674641148325356,0.5893801057184046,0.5945523420119054,0.3672705494834556,9888,6743,1709,2453,0.18393244773031014,
all_epochs,advanced_respiratory,XGBoost,config_5,sensitivity_ge_0.70_max_specificity,0.3,0.46366565671139326,0.23598730926121772,0.7506006727534839,0.39185857735554086,0.35908045977011493,6517,10114,1038,3124,0.14245925010902472,
all_epochs,advanced_respiratory,XGBoost,config_6,max_f1,0.45,0.6075602366180927,0.27634817632579994,0.5934646804420951,0.611087727737358,0.37709923664122136,10163,6468,1692,2470,0.20455240817945297,
all_epochs,advanced_respiratory,XGBoost,config_6,max_youden,0.45,0.6075602366180927,0.27634817632579994,0.5934646804420951,0.611087727737358,0.37709923664122136,10163,6468,1692,2470,0.20455240817945297,
all_epochs,advanced_respiratory,XGBoost,config_6,sensitivity_ge_0.70_max_specificity,0.35,0.4409176165055548,0.23382552250517155,0.7876021143680922,0.35415789790150926,0.36059622683020737,5890,10741,884,3278,0.14176001226960144,
all_epochs,advanced_respiratory_spo2,XGBoost,config_1,max_f1,0.5,0.7116337228875103,0.3423314993122421,0.47837578087457955,0.7700078167277975,0.3990779715373822,12806,3825,2171,1991,0.24838359760237694,
all_epochs,advanced_respiratory_spo2,XGBoost,config_1,max_youden,0.5,0.7116337228875103,0.3423314993122421,0.47837578087457955,0.7700078167277975,0.3990779715373822,12806,3825,2171,1991,0.24838359760237694,
all_epochs,advanced_respiratory_spo2,XGBoost,config_1,sensitivity_ge_0.70_max_specificity,0.35,0.5142115134901168,0.2539156376895666,0.7361845266698702,0.4586615356863688,0.37759566208638856,7628,9003,1098,3064,0.1948460623562389,
all_epochs,advanced_respiratory_spo2,XGBoost,config_2,max_f1,0.45,0.660462655701438,0.3092919189260332,0.5646323882748678,0.6844447116830016,0.39965986394557823,11383,5248,1812,2350,0.2490770999578693,
all_epochs,advanced_respiratory_spo2,XGBoost,config_2,max_youden,0.45,0.660462655701438,0.3092919189260332,0.5646323882748678,0.6844447116830016,0.39965986394557823,11383,5248,1812,2350,0.2490770999578693,
all_epochs,advanced_respiratory_spo2,XGBoost,config_2,sensitivity_ge_0.70_max_specificity,0.35,0.518972731207618,0.25626043405676124,0.7376261412782317,0.46425350249534003,0.3803741791599554,7721,8910,1092,3070,0.2018796437735717,
all_epochs,advanced_respiratory_spo2,XGBoost,config_3,max_f1,0.5,0.704564035973645,0.3409346394732616,0.5100913022585295,0.7532319163008839,0.4087015112137838,12527,4104,2039,2123,0.26332321855941343,
