regime,experiment,model,config_name,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
all_epochs,advanced_spo2,XGBoost,config_1,1,84,16845,3948,20,5,0.6451367781155015,0.4861437294504462,0.7712369597615499,0.580199539524175,0.5963699222126189,0.7247661878526339,0.5502043212297274,1512,1094,307,1035
all_epochs,advanced_spo2,XGBoost,config_1,2,84,16667,4126,20,5,0.685651963160446,0.22054915854738708,0.3738738738738739,0.7456647398843931,0.27743732590529246,0.6151022409692929,0.21248051009052804,2580,880,417,249
all_epochs,advanced_spo2,XGBoost,config_1,3,84,16668,4125,20,5,0.8152727272727273,0.138996138996139,0.06260869565217392,0.9371830985915492,0.08633093525179857,0.5202290263319045,0.14398382472443494,3327,223,539,36
all_epochs,advanced_spo2,XGBoost,config_1,4,84,16494,4299,20,5,0.5701325889741801,0.28400597907324365,0.581039755351682,0.5669077757685352,0.3815261044176707,0.5945379325939075,0.28497510408631244,1881,1437,411,570
all_epochs,advanced_spo2,XGBoost,config_1,5,84,16498,4295,20,5,0.7681024447031432,0.19939577039274925,0.22073578595317725,0.8566405193400054,0.20952380952380953,0.6108815065636696,0.1812733580464782,3167,530,466,132
all_epochs,advanced_respiratory,XGBoost,config_1,1,152,16845,3948,20,5,0.6674265450861195,0.5091946734305643,0.5983606557377049,0.7029930928626247,0.5501884206920178,0.7043401504953031,0.556480781577662,1832,774,539,803
all_epochs,advanced_respiratory,XGBoost,config_1,2,152,16667,4126,20,5,0.7355792535142995,0.2373300370828183,0.2882882882882883,0.8216763005780346,0.26033898305084746,0.5781308042146192,0.20786024796786012,2843,617,474,192
all_epochs,advanced_respiratory,XGBoost,config_1,3,152,16668,4125,20,5,0.72,0.18546637744034708,0.29739130434782607,0.7884507042253521,0.22845691382765532,0.5961959583588488,0.18101141012132804,2799,751,404,171
all_epochs,advanced_respiratory,XGBoost,config_1,4,152,16494,4299,20,5,0.596882996045592,0.2803738317757009,0.4892966360856269,0.6286919831223629,0.3564797623468251,0.5900748949756034,0.2909886306352756,2086,1232,501,480
all_epochs,advanced_respiratory,XGBoost,config_1,5,152,16498,4295,20,5,0.6812572759022119,0.160352422907489,0.30434782608695654,0.7422234243981607,0.21004039238315061,0.5211929495396701,0.17635328099599995,2744,953,416,182
