regime,feature_variant,experiment,model,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
all_epochs,base,effort_only,XGBoost,max_f1,0.4,0.42653777713653634,0.220066358915176,0.733061028351754,0.34982863327520897,0.338511039609453,5818,10813,1111,3051,0.08288966162696298,
all_epochs,base,effort_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.42653777713653634,0.220066358915176,0.733061028351754,0.34982863327520897,0.338511039609453,5818,10813,1111,3051,0.08288966162696298,
all_epochs,base,effort_only,XGBoost,max_youden,0.5,0.596114076852787,0.2458603311735061,0.49231138875540603,0.6220912753292045,0.3279449423815621,10346,6285,2113,2049,0.11440266408461053,
all_epochs,base,flow_only,XGBoost,max_f1,0.45,0.543404030202472,0.24251497005988024,0.6033157135992311,0.5284107991100956,0.3459630752273354,8788,7843,1651,2511,0.13172651270932656,
all_epochs,base,flow_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.45207521762131486,0.22711148011170654,0.7229697260932244,0.38428236425951534,0.34564355866980645,6391,10240,1153,3009,0.10725209035273986,
all_epochs,base,flow_only,XGBoost,max_youden,0.5,0.6265570143798393,0.26091572660915724,0.4723690533397405,0.6651434068907462,0.3361545695477473,11062,5569,2196,1966,0.1375124602304867,
all_epochs,base,full_core_fusion,XGBoost,max_f1,0.3,0.3886885009378156,0.2192815393708544,0.8022585295530995,0.28519030725753114,0.3444220950023209,4743,11888,823,3339,0.08744883681063076,
all_epochs,base,full_core_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.4478430240946472,0.22511830541575903,0.7200864968765017,0.37971258493175397,0.3430042918454936,6315,10316,1165,2997,0.0997990818082557,
all_epochs,base,full_core_fusion,XGBoost,max_youden,0.5,0.6592122348867407,0.27091820745847695,0.41542527630946663,0.7202212735253443,0.32795902883156297,11978,4653,2433,1729,0.13564654983481095,
all_epochs,base,late_fusion,XGBoost,max_f1,0.45,0.5806761891021016,0.25555197940135177,0.5723209995194618,0.5827671216403103,0.3533338277831343,9692,6939,1780,2382,0.1550881211597721,
all_epochs,base,late_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.46659933631510603,0.23224360460622923,0.7220086496876502,0.40268173892129155,0.3514414361733232,6697,9934,1157,3005,0.12469038860894166,
all_epochs,base,late_fusion,XGBoost,max_youden,0.45,0.5806761891021016,0.25555197940135177,0.5723209995194618,0.5827671216403103,0.3533338277831343,9692,6939,1780,2382,0.1550881211597721,
all_epochs,base,respiratory_spo2_fusion,XGBoost,max_f1,0.45,0.5592747559274756,0.2509460266879108,0.6054781355117732,0.547712103902351,0.3548296254576176,9109,7522,1642,2520,0.15319023941412424,
all_epochs,base,respiratory_spo2_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.41235031020054824,0.22299388021728667,0.7791926958193176,0.32054596837231675,0.3467522052927025,5331,11300,919,3243,0.09973866419163446,
all_epochs,base,respiratory_spo2_fusion,XGBoost,max_youden,0.5,0.629394507767037,0.26987012987012987,0.49927919269581933,0.6619565870963863,0.3503625021075704,11009,5622,2084,2078,0.1612357797922055,
all_epochs,base,spo2_only,XGBoost,max_f1,0.5,0.6377146154955995,0.26926762491444217,0.47260932244113407,0.6790331309001263,0.34307142234237376,11293,5338,2195,1967,0.15164245334126036,
all_epochs,base,spo2_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.41744817967585246,0.21409564904710535,0.7152811148486304,0.34291383560820154,0.3295511152930758,5703,10928,1185,2977,0.058194950456831984,
all_epochs,base,spo2_only,XGBoost,max_youden,0.5,0.6377146154955995,0.26926762491444217,0.47260932244113407,0.6790331309001263,0.34307142234237376,11293,5338,2195,1967,0.15164245334126036,
all_epochs,enhanced,effort_only,XGBoost,max_f1,0.45,0.5576395902467176,0.2512349338075479,0.611004324843825,0.5442847694065299,0.3560627275273033,9052,7579,1619,2543,0.15528909425035486,
all_epochs,enhanced,effort_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.47203385754821336,0.2312302839116719,0.7044690052859203,0.41386567253923395,0.34817717610735066,6883,9748,1230,2932,0.11833467782515417,
all_epochs,enhanced,effort_only,XGBoost,max_youden,0.45,0.5576395902467176,0.2512349338075479,0.611004324843825,0.5442847694065299,0.3560627275273033,9052,7579,1619,2543,0.15528909425035486,
