input_mode,input_shape,postprocessing,smoothing_window_epochs,smoothing_centered,offline_retrospective,offline_retrospective_smoothing,fold,fold_source,n_train,n_valid,n_train_records,n_valid_records,best_epoch,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
cnn_150s_context,4x1200,raw,0,False,True,False,1,saved improved baseline folds,12765,3302,20,5,4,0.6244700181708056,0.280997798972854,0.5956454121306376,0.6314403911244829,0.3818544366899302,0.6283738376136212,0.28128907804615944,1679,980,260,383
cnn_150s_context,4x1200,raw,0,False,True,False,2,saved improved baseline folds,12684,3383,20,5,3,0.6124741353827964,0.30057803468208094,0.6782608695652174,0.5956182695878203,0.4165554072096128,0.6407029496762945,0.29655157963431833,1604,1089,222,468
cnn_150s_context,4x1200,raw,0,False,True,False,3,saved improved baseline folds,13491,2576,21,4,1,0.6875,0.43537414965986393,0.4507042253521127,0.777599142550911,0.4429065743944637,0.6395234213426324,0.3936527588231175,1451,415,390,320
cnn_150s_context,4x1200,raw,0,False,True,False,4,saved improved baseline folds,12973,3094,20,5,1,0.46153846153846156,0.21478060046189376,0.5486725663716814,0.4370860927152318,0.3087136929460581,0.4964378333235656,0.21270063042512943,1056,1360,306,372
cnn_150s_context,4x1200,raw,0,False,True,False,5,saved improved baseline folds,12355,3712,19,6,2,0.703125,0.29952267303102625,0.3276762402088773,0.8007467752885268,0.31296758104738154,0.5577487906778054,0.24767435125036713,2359,587,515,251
cnn_150s_context,4x1200,rolling_mean_causal,15,False,True,False,2,saved improved baseline folds,12684,3383,20,5,3,0.6207508128879693,0.30480579328505597,0.6710144927536232,0.6078722614184924,0.419194205522861,0.6497979194583918,0.3042490224392339,1637,1056,227,463
cnn_150s_context,4x1200,rolling_mean_causal,15,False,True,False,5,saved improved baseline folds,12355,3712,19,6,2,0.7109375,0.29986962190352023,0.3002610966057441,0.8177189409368636,0.30006523157208087,0.5547540675589684,0.23896817554600108,2409,537,536,230
cnn_150s_context,4x1200,rolling_mean_causal,15,False,True,False,1,saved improved baseline folds,12765,3302,20,5,4,0.6211387038158692,0.2689969604863222,0.5505443234836703,0.6382098533283189,0.3614088820826952,0.6142523674693827,0.26766201186309535,1697,962,289,354
cnn_150s_context,4x1200,rolling_mean_causal,15,False,True,False,4,saved improved baseline folds,12973,3094,20,5,1,0.45184227537168714,0.20914285714285713,0.5398230088495575,0.4271523178807947,0.3014827018121911,0.4953121031862314,0.2194914666911636,1032,1384,312,366
cnn_150s_context,4x1200,rolling_mean_causal,15,False,True,False,3,saved improved baseline folds,13491,2576,21,4,1,0.6851708074534162,0.4312925170068027,0.44647887323943664,0.7759914255091104,0.4387543252595156,0.6546450190963573,0.40815751922321936,1448,418,393,317
cnn_150s_context,4x1200,rolling_mean_centered,15,True,True,True,2,saved improved baseline folds,12684,3383,20,5,3,0.6254803428909252,0.31007241606319946,0.6826086956521739,0.6108429261047159,0.42643730194658214,0.6481608248976143,0.3045933808184241,1645,1048,219,471
cnn_150s_context,4x1200,rolling_mean_centered,15,True,True,True,5,saved improved baseline folds,12355,3712,19,6,2,0.7233297413793104,0.328515111695138,0.3263707571801567,0.8265444670739986,0.3274394237066143,0.5650228924824385,0.25127830755249553,2435,511,516,250
cnn_150s_context,4x1200,rolling_mean_centered,15,True,True,True,1,saved improved baseline folds,12765,3302,20,5,4,0.627801332525742,0.27870090634441086,0.5738724727838258,0.640842421963144,0.3751906456532791,0.6355404369210002,0.28901059298755816,1704,955,274,369
cnn_150s_context,4x1200,rolling_mean_centered,15,True,True,True,4,saved improved baseline folds,12973,3094,20,5,1,0.44764059469941825,0.20892151326933936,0.5457227138643068,0.4201158940397351,0.30216414863209473,0.4916028101740608,0.21315492430317906,1015,1401,308,370
cnn_150s_context,4x1200,rolling_mean_centered,15,True,True,True,3,saved improved baseline folds,13491,2576,21,4,1,0.6750776397515528,0.4140730717185386,0.4309859154929577,0.7679528403001071,0.422360248447205,0.6459067373156409,0.40872093685069055,1433,433,404,306
cnn_150s_context,4x1200,rolling_mean_causal,31,False,True,False,2,saved improved baseline folds,12684,3383,20,5,3,0.6251847472657405,0.3128238341968912,0.7,0.6060155959896026,0.432408236347359,0.6567908210766507,0.29895026757626364,1632,1061,207,483
cnn_150s_context,4x1200,rolling_mean_causal,31,False,True,False,5,saved improved baseline folds,12355,3712,19,6,2,0.7273706896551724,0.3305785123966942,0.3133159268929504,0.835030549898167,0.32171581769436997,0.5440899639995108,0.23782674376325402,2460,486,526,240
cnn_150s_context,4x1200,rolling_mean_causal,31,False,True,False,1,saved improved baseline folds,12765,3302,20,5,4,0.6405208964264082,0.27704918032786885,0.5256609642301711,0.6682963520120346,0.36285560923242083,0.6020849990378636,0.25768298010849183,1777,882,305,338
cnn_150s_context,4x1200,rolling_mean_causal,31,False,True,False,4,saved improved baseline folds,12973,3094,20,5,1,0.4528118939883646,0.20715522215810733,0.5294985250737463,0.43129139072847683,0.2978017420157611,0.5087793520092208,0.22995284871165583,1042,1374,319,359
cnn_150s_context,4x1200,rolling_mean_causal,31,False,True,False,3,saved improved baseline folds,13491,2576,21,4,1,0.703027950310559,0.46153846153846156,0.4647887323943662,0.7936763129689175,0.4631578947368421,0.6730899868665368,0.4417124884393152,1481,385,380,330
cnn_150s_context,4x1200,rolling_mean_centered,31,True,True,True,2,saved improved baseline folds,12684,3383,20,5,3,0.618681643511676,0.30569948186528495,0.6840579710144927,0.6019309320460453,0.42256042972247093,0.6520076204007168,0.3039637338113144,1621,1072,218,472
cnn_150s_context,4x1200,rolling_mean_centered,31,True,True,True,5,saved improved baseline folds,12355,3712,19,6,2,0.7311422413793104,0.3388888888888889,0.3185378590078329,0.8384249830278343,0.3283983849259758,0.5735315753183057,0.2555088437585104,2470,476,522,244
cnn_150s_context,4x1200,rolling_mean_centered,31,True,True,True,1,saved improved baseline folds,12765,3302,20,5,4,0.6535433070866141,0.29782082324455206,0.5738724727838258,0.6728093268145919,0.39213602550478216,0.6336559365563241,0.28342585579325086,1789,870,274,369
cnn_150s_context,4x1200,rolling_mean_centered,31,True,True,True,4,saved improved baseline folds,12973,3094,20,5,1,0.43891402714932126,0.20112994350282487,0.5250737463126843,0.4147350993377483,0.2908496732026144,0.4858856394928598,0.20947383702132488,1002,1414,322,356
cnn_150s_context,4x1200,rolling_mean_centered,31,True,True,True,3,saved improved baseline folds,13491,2576,21,4,1,0.6828416149068323,0.42559109874826145,0.4309859154929577,0.7786709539121115,0.4282715185444367,0.6537407726099362,0.4242915449692177,1453,413,404,306
