input_mode,input_shape,offline_retrospective,fold,fold_source,n_train,n_valid,n_train_records,n_valid_records,best_epoch,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
cnn_30s,4x240,False,1,saved improved baseline folds,12765,3302,20,5,1,0.6262870987280436,0.2735632183908046,0.5552099533437014,0.6434749905979692,0.3665297741273101,0.6040958346225179,0.2484456220264357,1711,948,286,357
cnn_30s,4x240,False,2,saved improved baseline folds,12684,3383,20,5,7,0.5054685190659178,0.2555942317255097,0.744927536231884,0.4441143705904196,0.38059977786005184,0.6091859194799184,0.25418409088881727,1196,1497,176,514
cnn_30s,4x240,False,3,saved improved baseline folds,13491,2576,21,4,1,0.6486801242236024,0.41046831955922863,0.6295774647887324,0.6559485530546624,0.49694274596998333,0.6784263997705418,0.47447075371329683,1224,642,263,447
cnn_30s,4x240,False,4,saved improved baseline folds,12973,3094,20,5,9,0.5032320620555915,0.19689484827099507,0.41150442477876104,0.5289735099337748,0.26634844868735086,0.4667604368125964,0.2025065218368626,1278,1138,399,279
cnn_30s,4x240,False,5,saved improved baseline folds,12355,3712,19,6,1,0.7335668103448276,0.22194513715710723,0.11618798955613577,0.8940936863543788,0.15252784918594686,0.5304010039722844,0.21741029894614788,2634,312,677,89
cnn_90s_context,4x720,True,1,saved improved baseline folds,12765,3302,20,5,1,0.6832222895215021,0.27783902976846747,0.39191290824261277,0.7536667920270779,0.3251612903225806,0.6098066544737583,0.24312062060520015,2004,655,391,252
cnn_90s_context,4x720,True,2,saved improved baseline folds,12684,3383,20,5,10,0.6757315991723323,0.3026188166828322,0.45217391304347826,0.7330115113256591,0.3625798954096456,0.6204453844373765,0.2702115541828034,1974,719,378,312
cnn_90s_context,4x720,True,3,saved improved baseline folds,13491,2576,21,4,1,0.6032608695652174,0.38410104011887075,0.7281690140845071,0.5557341907824223,0.5029182879377432,0.7002358739791373,0.4921974786218852,1037,829,193,517
cnn_90s_context,4x720,True,4,saved improved baseline folds,12973,3094,20,5,12,0.5562378797672916,0.2072451558550969,0.36283185840707965,0.6105132450331126,0.2638069705093834,0.4681987341030299,0.2043848554513957,1475,941,432,246
cnn_90s_context,4x720,True,5,saved improved baseline folds,12355,3712,19,6,2,0.7074353448275862,0.2796143250688705,0.2650130548302872,0.8224711473183979,0.27211796246648795,0.5777739520241634,0.25723231153927156,2423,523,563,203
