regime,feature_variant,experiment,model,n_features,roc_auc_mean,roc_auc_std,f1_mean,sensitivity_mean,specificity_mean,average_precision_mean
sleep_only,enhanced,spo2_only,XGBoost,38,0.6725111969979165,0.05700959665122518,0.41517664022992296,0.5264089846207652,0.7175984895645996,0.37172042645258696
all_epochs,enhanced,late_fusion,XGBoost,151,0.6686696443905491,0.07010158301487521,0.35416731850016286,0.4351495598416587,0.7687573709009619,0.36067720789325086
all_epochs,enhanced,respiratory_spo2_fusion,XGBoost,127,0.6657025320107189,0.07364596434677409,0.39767772777111265,0.5485545507426142,0.7009542397620846,0.35059688631252844
all_epochs,enhanced,spo2_only,XGBoost,38,0.6640245992242504,0.08570232736657318,0.37981405884971664,0.506053484763497,0.7212678855454444,0.3482567863459942
sleep_only,enhanced,late_fusion,XGBoost,151,0.6548241427523864,0.0782837001283762,0.3853352180952831,0.4311117332850077,0.7791218684289769,0.36264338618641245
sleep_only,enhanced,respiratory_spo2_fusion,XGBoost,127,0.6454412797307248,0.07789976677308325,0.383941854640108,0.48618486415325923,0.7164965463852677,0.351576602270575
all_epochs,enhanced,full_core_fusion,XGBoost,151,0.6343294801574162,0.07890590941326014,0.3618319975961362,0.48884339009805444,0.7032867400405702,0.3246581168859374
sleep_only,enhanced,flow_only,XGBoost,30,0.6335922298326505,0.06545139440462834,0.37593473665067706,0.4723258820003595,0.717047314022353,0.3514639490839083
all_epochs,enhanced,flow_only,XGBoost,30,0.6327382432038429,0.055778087858543046,0.3420387031700501,0.489810755433266,0.6734533077711278,0.3018086729560433
sleep_only,enhanced,full_core_fusion,XGBoost,151,0.6324312063478619,0.08953053393655504,0.3591005540257434,0.44338789523986344,0.736101715891509,0.34641846111643587
all_epochs,base,late_fusion,XGBoost,53,0.6210311735518346,0.050726737542211936,0.32221626276925147,0.39905192893877856,0.7538881965850635,0.30333982542835775
all_epochs,base,respiratory_spo2_fusion,XGBoost,41,0.6200515796115463,0.049758633437405254,0.3419044216811095,0.501406639978922,0.661757967871176,0.3046268004604634
all_epochs,base,flow_only,XGBoost,10,0.600668396343029,0.04336788617966538,0.33404216407075504,0.4766523637734489,0.6631836579459858,0.27371278477321326
sleep_only,base,respiratory_spo2_fusion,XGBoost,41,0.5988070930131989,0.06616201596879195,0.3385840750652409,0.42647562297684055,0.7096947353896362,0.3049554172081647
sleep_only,base,late_fusion,XGBoost,53,0.5975812195086562,0.09498616597907092,0.3259759841770021,0.37655629003324276,0.7531875070410093,0.3045593873047685
all_epochs,base,full_core_fusion,XGBoost,53,0.5965639306347116,0.07480944783591502,0.31187505870215043,0.4071329231076201,0.7199271243474141,0.2776168930146596
sleep_only,base,flow_only,XGBoost,10,0.5953649170805829,0.02359724519359875,0.3477904274092117,0.433278537633932,0.7002346469323375,0.2945174812348351
all_epochs,enhanced,effort_only,XGBoost,59,0.595335826914123,0.07414071195524245,0.33903783993857994,0.48673733688277104,0.6600669155178057,0.27401612434260175
sleep_only,base,full_core_fusion,XGBoost,53,0.5834663358569061,0.0806337748555227,0.3083930365023659,0.3679604798072344,0.7323558430072268,0.28409522546652827
all_epochs,base,spo2_only,XGBoost,9,0.5822866019161956,0.08279848058360727,0.3296717891622318,0.4613154893887358,0.6780672035785956,0.27974196314108457
sleep_only,base,spo2_only,XGBoost,9,0.580340911354007,0.0742417099191033,0.3430696611562357,0.4825856678960331,0.6435875466654218,0.29349559674531184
all_epochs,base,effort_only,XGBoost,22,0.5761626647139895,0.05121687505476314,0.3225602691441989,0.4966972366693553,0.6234717426441511,0.24823536215174963
sleep_only,enhanced,effort_only,XGBoost,59,0.5753965115210529,0.037383113398200316,0.3435154823338801,0.4670657083272024,0.6553252894109749,0.27809862375463384
sleep_only,base,effort_only,XGBoost,22,0.5643624267109166,0.0550805849318951,0.3290049387242908,0.46981397169083283,0.6271725140816775,0.2636070678285401
