regime,feature_variant,experiment,model,tn,fp,fn,tp
all_epochs,base,effort_only,XGBoost,10346,6285,2113,2049
all_epochs,base,flow_only,XGBoost,11062,5569,2196,1966
all_epochs,base,full_core_fusion,XGBoost,11978,4653,2433,1729
all_epochs,base,late_fusion,XGBoost,12536,4095,2503,1659
all_epochs,base,respiratory_spo2_fusion,XGBoost,11009,5622,2084,2078
all_epochs,base,spo2_only,XGBoost,11293,5338,2195,1967
all_epochs,enhanced,effort_only,XGBoost,10942,5689,2113,2049
all_epochs,enhanced,flow_only,XGBoost,11251,5380,2144,2018
all_epochs,enhanced,full_core_fusion,XGBoost,11718,4913,2105,2057
all_epochs,enhanced,late_fusion,XGBoost,12795,3836,2331,1831
all_epochs,enhanced,respiratory_spo2_fusion,XGBoost,11664,4967,1855,2307
all_epochs,enhanced,spo2_only,XGBoost,11999,4632,1984,2178
sleep_only,base,effort_only,XGBoost,7830,4750,1833,1654
sleep_only,base,flow_only,XGBoost,8968,3612,1984,1503
sleep_only,base,full_core_fusion,XGBoost,9289,3291,2195,1292
sleep_only,base,late_fusion,XGBoost,9536,3044,2171,1316
sleep_only,base,respiratory_spo2_fusion,XGBoost,9035,3545,2001,1486
sleep_only,base,spo2_only,XGBoost,8198,4382,1807,1680
sleep_only,enhanced,effort_only,XGBoost,8287,4293,1842,1645
sleep_only,enhanced,flow_only,XGBoost,9110,3470,1852,1635
sleep_only,enhanced,full_core_fusion,XGBoost,9479,3101,1932,1555
sleep_only,enhanced,late_fusion,XGBoost,9936,2644,1982,1505
sleep_only,enhanced,respiratory_spo2_fusion,XGBoost,9182,3398,1787,1700
sleep_only,enhanced,spo2_only,XGBoost,9170,3410,1647,1840
