regime,feature_variant,experiment,model,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
all_epochs,base,flow_only,XGBoost,1,10,16676,4117,20,5,0.6225406849647802,0.2672782874617737,0.5510718789407314,0.6395908543922985,0.3599670510708402,0.6201064746738535,0.2587035479866074,2126,1198,356,437
all_epochs,base,flow_only,XGBoost,2,10,16684,4109,20,5,0.7393526405451448,0.3005586592178771,0.37675070028011204,0.8156111929307805,0.3343691733996271,0.6611793170876596,0.2931678910449159,2769,626,445,269
all_epochs,base,flow_only,XGBoost,3,10,16578,4215,20,5,0.5670225385527876,0.21536853110297963,0.5597826086956522,0.5685541822362747,0.3110607776519441,0.5901236221677894,0.22999396803909264,1978,1501,324,412
all_epochs,base,flow_only,XGBoost,4,10,16428,4365,20,5,0.6547537227949599,0.27570921985815605,0.3106893106893107,0.7571343638525565,0.2921559417566933,0.5440115770080098,0.2648319277214377,2547,817,690,311
all_epochs,base,flow_only,XGBoost,5,10,16806,3987,20,5,0.5465262101830951,0.27342158859470467,0.5849673202614379,0.5350276963180189,0.37265787647467036,0.5879209907778324,0.32186658907401267,1642,1427,381,537
all_epochs,base,effort_only,XGBoost,1,22,16676,4117,20,5,0.6208404177799368,0.23259052924791088,0.42118537200504413,0.6684717208182912,0.2996859578286227,0.5623132539079156,0.2257238568825236,2222,1102,459,334
all_epochs,base,effort_only,XGBoost,2,22,16684,4109,20,5,0.6235093696763203,0.17986164488854728,0.3277310924369748,0.6857142857142857,0.23225806451612904,0.49361455922575215,0.17447344211266855,2328,1067,480,234
all_epochs,base,effort_only,XGBoost,3,22,16578,4215,20,5,0.46619217081850534,0.2169035153328347,0.7880434782608695,0.3981029031330842,0.34017595307917886,0.622201375957609,0.24191754302059532,1385,2094,156,580
all_epochs,base,effort_only,XGBoost,4,22,16428,4365,20,5,0.6675830469644902,0.3161764705882353,0.3866133866133866,0.7511890606420928,0.34786516853932586,0.5943025464428555,0.29063650269737556,2527,837,614,387
all_epochs,base,effort_only,XGBoost,5,22,16806,3987,20,5,0.6014547278655631,0.30253090052972337,0.5599128540305011,0.613880742913001,0.39281620175773785,0.6083815880358153,0.3084254660455852,1884,1185,404,514
all_epochs,base,spo2_only,XGBoost,1,9,16676,4117,20,5,0.6276414865193102,0.2603626943005181,0.5069356872635561,0.6564380264741275,0.34403080872913994,0.5875193290266971,0.24750012706063604,2182,1142,391,402
all_epochs,base,spo2_only,XGBoost,2,9,16684,4109,20,5,0.7086882453151618,0.2029520295202952,0.23109243697478993,0.8091310751104566,0.21611001964636542,0.49911944159106936,0.19450596309256812,2747,648,549,165
all_epochs,base,spo2_only,XGBoost,3,9,16578,4215,20,5,0.6147093712930012,0.2047872340425532,0.41847826086956524,0.6562230526013222,0.275,0.5407393897546772,0.22715444825629555,2283,1196,428,308
all_epochs,base,spo2_only,XGBoost,4,9,16428,4365,20,5,0.590836197021764,0.26341169379144064,0.43656343656343655,0.6367419738406659,0.32857142857142857,0.5658234452824227,0.28179922670462215,2142,1222,564,437
all_epochs,base,spo2_only,XGBoost,5,9,16806,3987,20,5,0.6506144971156258,0.36694677871148457,0.7135076252723311,0.631801889866406,0.48464668886422496,0.718231403926112,0.447750050591301,1939,1130,263,655
all_epochs,base,respiratory_spo2_fusion,XGBoost,1,41,16676,4117,20,5,0.6524168083555988,0.2657856093979442,0.45649432534678436,0.6991576413959085,0.3359628770301624,0.592491194765267,0.2587032006910406,2324,1000,431,362
all_epochs,base,respiratory_spo2_fusion,XGBoost,2,41,16684,4109,20,5,0.7320515940618155,0.26373626373626374,0.3025210084033613,0.8223858615611193,0.28180039138943247,0.6135518124775684,0.24643346334261962,2792,603,498,216
all_epochs,base,respiratory_spo2_fusion,XGBoost,3,41,16578,4215,20,5,0.5077105575326216,0.2227743271221532,0.7309782608695652,0.46047714860592126,0.341478895588702,0.6292715532324381,0.24909362562099913,1602,1877,198,538
all_epochs,base,respiratory_spo2_fusion,XGBoost,4,41,16428,4365,20,5,0.6508591065292096,0.28334714167357083,0.34165834165834164,0.7428656361474435,0.30978260869565216,0.5664855358672244,0.32172565197544856,2499,865,659,342
all_epochs,base,respiratory_spo2_fusion,XGBoost,5,41,16806,3987,20,5,0.6049661399548533,0.3268318397469689,0.6753812636165577,0.5839035516454871,0.4404973357015986,0.6984578017152336,0.44717806067220905,1792,1277,298,620
all_epochs,base,full_core_fusion,XGBoost,1,53,16676,4117,20,5,0.7733786737915959,0.36486486486486486,0.23833543505674654,0.9010228640192539,0.28832951945080093,0.6209096061658648,0.29504089491480806,2995,329,604,189
all_epochs,base,full_core_fusion,XGBoost,2,53,16684,4109,20,5,0.7164760282307131,0.19485791610284167,0.20168067226890757,0.8247422680412371,0.19821059876118377,0.5636539151743172,0.19893833487597534,2800,595,570,144
all_epochs,base,full_core_fusion,XGBoost,3,53,16578,4215,20,5,0.5677342823250296,0.21390937829293993,0.5516304347826086,0.5711411325093417,0.3082763857251329,0.5788254370946174,0.2294362137453106,1987,1492,330,406
all_epochs,base,full_core_fusion,XGBoost,4,53,16428,4365,20,5,0.604352806414662,0.2560483870967742,0.3806193806193806,0.6709274673008323,0.30614704700683004,0.5095917756440943,0.26686610448122317,2257,1107,620,381
all_epochs,base,full_core_fusion,XGBoost,5,53,16806,3987,20,5,0.6390770002508152,0.35020126509488214,0.6633986928104575,0.631801889866406,0.45841174256680467,0.7098389190946645,0.3978029170559808,1939,1130,309,609
all_epochs,base,late_fusion,XGBoost,1,53,16676,4117,20,5,0.7685207675491863,0.36710963455149503,0.2786885245901639,0.8853790613718412,0.31684587813620074,0.6581216814394301,0.30054475205859055,2943,381,572,221
all_epochs,base,late_fusion,XGBoost,2,53,16684,4109,20,5,0.7434899002190314,0.24550898203592814,0.22969187675070027,0.8515463917525773,0.23733719247467439,0.5962857307871602,0.23985592746038162,2891,504,550,164
all_epochs,base,late_fusion,XGBoost,3,53,16578,4215,20,5,0.5402135231316726,0.21543560606060605,0.6182065217391305,0.5237137108364472,0.31952247191011235,0.6013021061149506,0.2592880884401473,1822,1657,281,455
all_epochs,base,late_fusion,XGBoost,4,53,16428,4365,20,5,0.711340206185567,0.3337612323491656,0.2597402597402597,0.8457193816884662,0.29213483146067415,0.5619208377829068,0.31378710758362305,2845,519,741,260
all_epochs,base,late_fusion,XGBoost,5,53,16806,3987,20,5,0.6506144971156258,0.35091023226616447,0.6089324618736384,0.6630824372759857,0.4452409398645958,0.6875255116347252,0.40322325159904615,2035,1034,359,559
all_epochs,enhanced,flow_only,XGBoost,1,30,16676,4117,20,5,0.599465630313335,0.25873731679819617,0.5788146279949559,0.6043922984356197,0.3576158940397351,0.628523990755452,0.2639411505222826,2009,1315,334,459
all_epochs,enhanced,flow_only,XGBoost,2,30,16684,4109,20,5,0.7629593575079094,0.3448687350835322,0.40476190476190477,0.8382916053019146,0.37242268041237114,0.6842493698510332,0.30205859085448833,2846,549,425,289
all_epochs,enhanced,flow_only,XGBoost,3,30,16578,4215,20,5,0.602846975088968,0.2244418331374853,0.5190217391304348,0.6205806266168439,0.3133716160787531,0.6057939250409288,0.27229088089085957,2159,1320,354,382
all_epochs,enhanced,flow_only,XGBoost,4,30,16428,4365,20,5,0.6668957617411225,0.25245901639344265,0.23076923076923078,0.7966706302021404,0.24112734864300625,0.556076949210124,0.26678507467043655,2680,684,770,231
all_epochs,enhanced,flow_only,XGBoost,5,30,16806,3987,20,5,0.5553047404063205,0.3029045643153527,0.7156862745098039,0.5073313782991202,0.42565597667638483,0.6890469811616766,0.4039676678421494,1557,1512,261,657
all_epochs,enhanced,effort_only,XGBoost,1,59,16676,4117,20,5,0.6742773864464415,0.28009630818619585,0.4401008827238335,0.73014440433213,0.3423246689553703,0.6095652315765352,0.2697640116379503,2427,897,444,349
all_epochs,enhanced,effort_only,XGBoost,2,59,16684,4109,20,5,0.6222925285957654,0.15599343185550082,0.2661064425770308,0.69720176730486,0.19668737060041408,0.4763505402160864,0.161698600426911,2367,1028,524,190
all_epochs,enhanced,effort_only,XGBoost,3,59,16578,4215,20,5,0.534994068801898,0.2200365965233303,0.6535326086956522,0.5099166427134234,0.32922655715263516,0.60327727232963,0.22765767626754552,1774,1705,255,481
all_epochs,enhanced,effort_only,XGBoost,4,59,16428,4365,20,5,0.6174112256586484,0.3042715038033938,0.5194805194805194,0.646551724137931,0.3837638376383764,0.6058100638956763,0.30461912914329803,2175,1189,481,520
all_epochs,enhanced,effort_only,XGBoost,5,59,16806,3987,20,5,0.6792074241284174,0.369108049311095,0.5544662309368191,0.7165200391006843,0.44318676534610363,0.6816760265526869,0.4063412042373039,2199,870,409,509
all_epochs,enhanced,spo2_only,XGBoost,1,38,16676,4117,20,5,0.7624483847461744,0.35524256651017216,0.2862547288776797,0.8760529482551144,0.3170391061452514,0.637796422669477,0.3005485459066156,2912,412,566,227
all_epochs,enhanced,spo2_only,XGBoost,2,38,16684,4109,20,5,0.7602823071306888,0.30995792426367463,0.30952380952380953,0.855081001472754,0.3097407147862649,0.6329599881189589,0.2632275227077092,2903,492,493,221
all_epochs,enhanced,spo2_only,XGBoost,3,38,16578,4215,20,5,0.6092526690391459,0.2306327616794796,0.529891304347826,0.6260419660822075,0.32138442521631644,0.60189885430596,0.24761835097624701,2178,1301,346,390
all_epochs,enhanced,spo2_only,XGBoost,4,38,16428,4365,20,5,0.5899198167239404,0.30363364858138375,0.6093906093906094,0.5841260404280618,0.4053156146179402,0.6322553783909314,0.32883171085179896,1965,1399,391,610
all_epochs,enhanced,spo2_only,XGBoost,5,38,16806,3987,20,5,0.6950087785302232,0.4152445961319681,0.7952069716775599,0.6650374714890844,0.5455904334828101,0.8152123526359242,0.6010578012876002,2041,1028,188,730
all_epochs,enhanced,respiratory_spo2_fusion,XGBoost,1,127,16676,4117,20,5,0.7418022832159339,0.35638297872340424,0.4224464060529634,0.8179903730445247,0.3866128101557992,0.648289295778495,0.31489031724644895,2719,605,458,335
all_epochs,enhanced,respiratory_spo2_fusion,XGBoost,2,127,16684,4109,20,5,0.7688001946945728,0.3475452196382429,0.37675070028011204,0.8512518409425626,0.36155913978494625,0.6566853545541929,0.27871579691316406,2890,505,445,269
all_epochs,enhanced,respiratory_spo2_fusion,XGBoost,3,127,16578,4215,20,5,0.5622775800711743,0.23456199138343706,0.6657608695652174,0.5403851681517677,0.34690265486725663,0.6313220940550133,0.25923252258214047,1880,1599,246,490
all_epochs,enhanced,respiratory_spo2_fusion,XGBoost,4,127,16428,4365,20,5,0.6334478808705613,0.30838131797824697,0.48151848151848153,0.6786563614744352,0.37597503900156004,0.6005062119806471,0.33136305694574,2283,1081,519,482
all_epochs,enhanced,respiratory_spo2_fusion,XGBoost,5,127,16806,3987,20,5,0.6578881364434411,0.3831236897274633,0.7962962962962963,0.6164874551971327,0.5173389950460014,0.7917097036852466,0.5687827378751487,1892,1177,187,731
all_epochs,enhanced,full_core_fusion,XGBoost,1,151,16676,4117,20,5,0.7811513237794511,0.40145985401459855,0.27742749054224464,0.901323706377858,0.32811334824757643,0.6374887516066423,0.30510810112460957,2996,328,573,220
all_epochs,enhanced,full_core_fusion,XGBoost,2,151,16684,4109,20,5,0.7308347529812607,0.3074656188605108,0.438375350140056,0.792341678939617,0.36143187066974597,0.6624587979521706,0.28021204507354147,2690,705,401,313
all_epochs,enhanced,full_core_fusion,XGBoost,3,151,16578,4215,20,5,0.5843416370106762,0.21902654867256638,0.5380434782608695,0.5941362460477149,0.3113207547169811,0.5937710892685305,0.24332491047199847,2067,1412,340,396
all_epochs,enhanced,full_core_fusion,XGBoost,4,151,16428,4365,20,5,0.6050400916380297,0.270184361093452,0.4245754245754246,0.6587395957193817,0.33022533022533024,0.5330979959398509,0.31725474209735066,2216,1148,576,425
all_epochs,enhanced,full_core_fusion,XGBoost,5,151,16806,3987,20,5,0.6149987459242539,0.34750370736529906,0.7657952069716776,0.5698924731182796,0.47806868412104725,0.7448307660198868,0.47739078566218673,1749,1320,215,703
all_epochs,enhanced,late_fusion,XGBoost,1,151,16676,4117,20,5,0.7767792081612825,0.35,0.1853720050441362,0.9178700361010831,0.24237427864798022,0.6710376064329429,0.3191455926267249,3051,273,646,147
all_epochs,enhanced,late_fusion,XGBoost,2,151,16684,4109,20,5,0.7714772450717936,0.33951497860199714,0.3333333333333333,0.8636229749631812,0.3363957597173145,0.6550030321406913,0.27988981618074754,2932,463,476,238
all_epochs,enhanced,late_fusion,XGBoost,3,151,16578,4215,20,5,0.5900355871886122,0.23014145810663764,0.5747282608695652,0.5932739292900259,0.32867132867132864,0.6231945242885887,0.2694889442752211,2064,1415,313,423
all_epochs,enhanced,late_fusion,XGBoost,4,151,16428,4365,20,5,0.7072164948453609,0.3596757852077001,0.3546453546453546,0.812128418549346,0.35714285714285715,0.6082169910945179,0.35093789741598974,2732,632,646,355
all_epochs,enhanced,late_fusion,XGBoost,5,151,16806,3987,20,5,0.673187860546777,0.3881464264962231,0.7276688453159041,0.656891495601173,0.5062523683213338,0.7858960679960046,0.583923788967571,2016,1053,250,668
sleep_only,base,flow_only,XGBoost,1,10,12765,3302,20,5,0.7104784978800727,0.3259176863181313,0.4556765163297045,0.7720947724708537,0.38002594033722437,0.6323750377982111,0.30530017740427395,2053,606,350,293
sleep_only,base,flow_only,XGBoost,2,10,12684,3383,20,5,0.6686373041678983,0.2868447082096934,0.42028985507246375,0.7322688451541032,0.3409758965314521,0.6047358422533998,0.26347951359786526,1972,721,400,290
sleep_only,base,flow_only,XGBoost,3,10,13491,2576,21,4,0.5430900621118012,0.3168627450980392,0.5690140845070423,0.5332261521972133,0.4070528967254408,0.5810051628096553,0.3722293121691536,995,871,306,404
sleep_only,base,flow_only,XGBoost,4,10,12973,3094,20,5,0.6270200387847447,0.27115384615384613,0.415929203539823,0.6862582781456954,0.32828870779976715,0.5843977099572174,0.26773044846981686,1658,758,396,282
sleep_only,base,flow_only,XGBoost,5,10,12355,3712,19,6,0.6799568965517241,0.26292134831460673,0.30548302872062666,0.7773251866938221,0.2826086956521739,0.5743108325844309,0.26384795453306575,2290,656,532,234
sleep_only,base,effort_only,XGBoost,1,22,12765,3302,20,5,0.6335554209569958,0.2006335797254488,0.2954898911353033,0.7153065062053403,0.2389937106918239,0.5105720938366545,0.20606923585973086,1902,757,453,190
sleep_only,base,effort_only,XGBoost,2,22,12684,3383,20,5,0.5184747265740467,0.24825737265415548,0.6710144927536232,0.4793910137393242,0.362426614481409,0.5908888853011296,0.2533846902064286,1291,1402,227,463
sleep_only,base,effort_only,XGBoost,3,22,13491,2576,21,4,0.6257763975155279,0.37764932562620424,0.5521126760563381,0.6538049303322615,0.448512585812357,0.6387784369669247,0.39823928312265466,1220,646,318,392
sleep_only,base,effort_only,XGBoost,4,22,12973,3094,20,5,0.6208791208791209,0.2289156626506024,0.308259587020649,0.7086092715231788,0.26272784412319294,0.5100534294477329,0.21620779599620665,1712,704,469,209
sleep_only,base,effort_only,XGBoost,5,22,12355,3712,19,6,0.5670797413793104,0.2437538086532602,0.5221932114882507,0.5787508486082824,0.3323639385126714,0.5715192880021412,0.2441343339576798,1705,1241,366,400
sleep_only,base,spo2_only,XGBoost,1,9,12765,3302,20,5,0.5293761356753482,0.23284457478005866,0.6174183514774495,0.5080857465212486,0.338160136286201,0.5788787983181038,0.22253504419157877,1351,1308,246,397
sleep_only,base,spo2_only,XGBoost,2,9,12684,3383,20,5,0.6109961572568726,0.2382943143812709,0.41304347826086957,0.6617155588562941,0.3022269353128314,0.5488079669782635,0.2510027583204807,1782,911,405,285
sleep_only,base,spo2_only,XGBoost,3,9,13491,2576,21,4,0.5788043478260869,0.36616702355460384,0.7225352112676057,0.5241157556270096,0.4860255802936997,0.6806187068822366,0.45516378984390676,978,888,197,513
sleep_only,base,spo2_only,XGBoost,4,9,12973,3094,20,5,0.6444731738849386,0.2140921409214092,0.23303834808259588,0.7599337748344371,0.2231638418079096,0.4806248046455293,0.2251808799398705,1836,580,520,158
sleep_only,base,spo2_only,XGBoost,5,9,12355,3712,19,6,0.6945043103448276,0.3199608610567515,0.42689295039164493,0.7640868974881195,0.36577181208053694,0.6127742799459017,0.3135955114307225,2251,695,439,327
sleep_only,base,respiratory_spo2_fusion,XGBoost,1,41,12765,3302,20,5,0.6290127195639007,0.23055555555555557,0.38724727838258166,0.6874764949229033,0.2890307603017992,0.5697121838037078,0.2287413224857073,1828,831,394,249
sleep_only,base,respiratory_spo2_fusion,XGBoost,2,41,12684,3383,20,5,0.6358261897723914,0.2946969696969697,0.563768115942029,0.6542888971407352,0.3870646766169154,0.6302614938353326,0.2846817859642994,1762,931,301,389
sleep_only,base,respiratory_spo2_fusion,XGBoost,3,41,13491,2576,21,4,0.6156832298136646,0.384297520661157,0.6549295774647887,0.6007502679528403,0.484375,0.6792340322751083,0.4600670183618216,1121,745,245,465
sleep_only,base,respiratory_spo2_fusion,XGBoost,4,41,12973,3094,20,5,0.6502908855850033,0.21787709497206703,0.23008849557522124,0.7682119205298014,0.22381635581061693,0.5036622858426616,0.22548495777987554,1856,560,522,156
sleep_only,base,respiratory_spo2_fusion,XGBoost,5,41,12355,3712,19,6,0.7260237068965517,0.3219858156028369,0.2963446475195822,0.8377460964019009,0.3086335825968729,0.6111654693091841,0.3258020014491198,2468,478,539,227
sleep_only,base,full_core_fusion,XGBoost,1,53,12765,3302,20,5,0.6971532404603271,0.2571428571428571,0.2939346811819596,0.7946596464836405,0.274310595065312,0.6138224767902899,0.24781718173014936,2113,546,454,189
sleep_only,base,full_core_fusion,XGBoost,2,53,12684,3383,20,5,0.6334614247709134,0.27459016393442626,0.4855072463768116,0.6713702190865206,0.3507853403141361,0.5960762470602797,0.26605135443768746,1808,885,355,335
sleep_only,base,full_core_fusion,XGBoost,3,53,13491,2576,21,4,0.6083074534161491,0.3622119815668203,0.5535211267605634,0.6291532690246516,0.437883008356546,0.6413334239089413,0.42063014932719067,1174,692,317,393
sleep_only,base,full_core_fusion,XGBoost,4,53,12973,3094,20,5,0.6535229476405947,0.1705685618729097,0.1504424778761062,0.7947019867549668,0.15987460815047022,0.4422355144659986,0.19458239748577713,1920,496,576,102
sleep_only,base,full_core_fusion,XGBoost,5,53,12355,3712,19,6,0.6861530172413793,0.28888888888888886,0.3563968668407311,0.7718940936863544,0.3191116306253653,0.6238640170590205,0.29139504435183666,2274,672,493,273
sleep_only,base,late_fusion,XGBoost,1,53,12765,3302,20,5,0.7147183525136281,0.30040053404539385,0.3499222395023328,0.8029334336216623,0.3232758620689655,0.6457694955422969,0.277301961005744,2135,524,418,225
sleep_only,base,late_fusion,XGBoost,2,53,12684,3383,20,5,0.6287318947679574,0.2684124386252046,0.4753623188405797,0.6680282213145191,0.34309623430962344,0.6097316176668444,0.2980746841294282,1799,894,362,328
sleep_only,base,late_fusion,XGBoost,3,53,13491,2576,21,4,0.6626552795031055,0.42073778664007977,0.5943661971830986,0.6886387995712755,0.49270286047869233,0.6841824796582281,0.4376298640800905,1285,581,288,422
sleep_only,base,late_fusion,XGBoost,4,53,12973,3094,20,5,0.6460892049127344,0.1685214626391097,0.15634218289085547,0.7835264900662252,0.162203519510329,0.43657756060872455,0.2063266032165018,1893,523,572,106
sleep_only,base,late_fusion,XGBoost,5,53,12355,3712,19,6,0.7163254310344828,0.3104359313077939,0.30678851174934724,0.8228105906313645,0.30860144451739985,0.6116449440671867,0.30346382409207806,2424,522,531,235
sleep_only,enhanced,flow_only,XGBoost,1,30,12765,3302,20,5,0.7050272562083586,0.32849740932642485,0.49300155520995337,0.756299360661903,0.39427860696517414,0.6541430056201626,0.337169190938079,2011,648,326,317
sleep_only,enhanced,flow_only,XGBoost,2,30,12684,3383,20,5,0.6547443097842152,0.2914485165794066,0.48405797101449277,0.6984775343483104,0.3638344226579521,0.6184205427921019,0.3133246097023022,1881,812,356,334
sleep_only,enhanced,flow_only,XGBoost,3,30,13491,2576,21,4,0.6444099378881988,0.4141666666666667,0.7,0.6232583065380493,0.5204188481675392,0.7326751505819483,0.5804574732915339,1163,703,213,497
sleep_only,enhanced,flow_only,XGBoost,4,30,12973,3094,20,5,0.6606334841628959,0.3037974683544304,0.4247787610619469,0.7268211920529801,0.35424354243542433,0.6059523286252906,0.29359706061850055,1756,660,390,288
sleep_only,enhanced,flow_only,XGBoost,5,30,12355,3712,19,6,0.6729525862068966,0.23522458628841608,0.2597911227154047,0.7803801765105227,0.24689826302729528,0.5567701215437493,0.23277141086912606,2299,647,567,199
sleep_only,enhanced,effort_only,XGBoost,1,59,12765,3302,20,5,0.6950333131435493,0.25068493150684934,0.2846034214618974,0.794283565250094,0.26656955571740715,0.5320479114624062,0.22571934374384064,2112,547,460,183
sleep_only,enhanced,effort_only,XGBoost,2,59,12684,3383,20,5,0.5447827372154892,0.24053724053724054,0.5710144927536231,0.5380616412922391,0.3384879725085911,0.5787150798904299,0.2525396608434134,1449,1244,296,394
sleep_only,enhanced,effort_only,XGBoost,3,59,13491,2576,21,4,0.5885093167701864,0.34965635738831613,0.5732394366197183,0.5943193997856377,0.4343649946638207,0.6134036803888713,0.3599401113285118,1109,757,303,407
sleep_only,enhanced,effort_only,XGBoost,4,59,12973,3094,20,5,0.6134453781512605,0.24903100775193798,0.37905604719764013,0.6792218543046358,0.30058479532163745,0.5428424563871144,0.24730919023648618,1641,775,421,257
sleep_only,enhanced,effort_only,XGBoost,5,59,12355,3712,19,6,0.6411637931034483,0.2940320232896652,0.5274151436031331,0.6707399864222675,0.3775700934579439,0.609973429476442,0.30498481262091737,1976,970,362,404
sleep_only,enhanced,spo2_only,XGBoost,1,38,12765,3302,20,5,0.7253179890975167,0.33663366336633666,0.4230171073094868,0.798420458819105,0.3749138525155066,0.6813226244738226,0.3162207066374982,2123,536,371,272
sleep_only,enhanced,spo2_only,XGBoost,2,38,12684,3383,20,5,0.629323086018327,0.2827426810477658,0.5318840579710145,0.6542888971407352,0.369215291750503,0.615752326213425,0.2817496847256232,1762,931,323,367
sleep_only,enhanced,spo2_only,XGBoost,3,38,13491,2576,21,4,0.6374223602484472,0.41836734693877553,0.8084507042253521,0.572347266881029,0.5513928914505284,0.7636769168063041,0.5842492062670018,1068,798,136,574
sleep_only,enhanced,spo2_only,XGBoost,4,38,12973,3094,20,5,0.6664511958629605,0.3128964059196617,0.4365781710914454,0.7309602649006622,0.3645320197044335,0.6358012707808318,0.32390331926423666,1766,650,382,296
sleep_only,enhanced,spo2_only,XGBoost,5,38,12355,3712,19,6,0.7494612068965517,0.400726392251816,0.4321148825065274,0.8319755600814664,0.4158291457286432,0.666002846715199,0.3524792153685751,2451,495,435,331
sleep_only,enhanced,respiratory_spo2_fusion,XGBoost,1,127,12765,3302,20,5,0.6874621441550576,0.2782212086659065,0.37947122861586313,0.7619405791650996,0.32105263157894737,0.6159812883501965,0.2596226435366561,2026,633,399,244
sleep_only,enhanced,respiratory_spo2_fusion,XGBoost,2,127,12684,3383,20,5,0.6101093703813184,0.2792982456140351,0.5768115942028985,0.6186409209060527,0.3763593380614657,0.6346911208339387,0.29473844561004403,1666,1027,292,398
sleep_only,enhanced,respiratory_spo2_fusion,XGBoost,3,127,13491,2576,21,4,0.6149068322981367,0.40221914008321774,0.8169014084507042,0.5380493033226152,0.5390334572490706,0.7673293781984513,0.554331812964542,1004,862,130,580
sleep_only,enhanced,respiratory_spo2_fusion,XGBoost,4,127,12973,3094,20,5,0.6767937944408533,0.2763888888888889,0.2935103244837758,0.7843543046357616,0.28469241773962806,0.5541162407939206,0.2635531611885954,1895,521,479,199
sleep_only,enhanced,respiratory_spo2_fusion,XGBoost,5,127,12355,3712,19,6,0.7731681034482759,0.4400630914826498,0.3642297650130548,0.8794976238968092,0.3985714285714286,0.6550883704771172,0.3856369480530376,2591,355,487,279
sleep_only,enhanced,full_core_fusion,XGBoost,1,151,12765,3302,20,5,0.6741368867353119,0.25863991081382387,0.3608087091757387,0.7499059796916134,0.3012987012987013,0.6141225229377385,0.2593558660813293,1994,665,411,232
