experiment,model,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
ecg_only,XGBoost,1,12,16676,4117,20,5,0.7779936847218849,0.26996197718631176,0.08953341740226986,0.9422382671480144,0.13446969696969696,0.6504145402840438,0.2794085913357829,3132,192,722,71
ecg_only,XGBoost,2,12,16684,4109,20,5,0.665612071063519,0.22268907563025211,0.3711484593837535,0.727540500736377,0.27836134453781514,0.5869921164342025,0.20428143817174244,2470,925,449,265
ecg_only,XGBoost,3,12,16578,4215,20,5,0.5077105575326216,0.1582440020418581,0.421195652173913,0.5260132221902846,0.2300556586270872,0.4888094092505343,0.19057454542421443,1830,1649,426,310
ecg_only,XGBoost,4,12,16428,4365,20,5,0.5892325315005728,0.24582798459563543,0.3826173826173826,0.6507134363852557,0.29933567799921845,0.48741820011142245,0.2214761831844722,2189,1175,618,383
ecg_only,XGBoost,5,12,16806,3987,20,5,0.5675946827188362,0.11981132075471698,0.1383442265795207,0.6959921798631477,0.12841253791708795,0.4913075870803048,0.20474982947837017,2136,933,791,127
flow_only,XGBoost,1,10,16676,4117,20,5,0.6225406849647802,0.2672782874617737,0.5510718789407314,0.6395908543922985,0.3599670510708402,0.6201064746738535,0.2587035479866074,2126,1198,356,437
flow_only,XGBoost,2,10,16684,4109,20,5,0.7393526405451448,0.3005586592178771,0.37675070028011204,0.8156111929307805,0.3343691733996271,0.6611793170876596,0.2931678910449159,2769,626,445,269
flow_only,XGBoost,3,10,16578,4215,20,5,0.5670225385527876,0.21536853110297963,0.5597826086956522,0.5685541822362747,0.3110607776519441,0.5901236221677894,0.22999396803909264,1978,1501,324,412
flow_only,XGBoost,4,10,16428,4365,20,5,0.6547537227949599,0.27570921985815605,0.3106893106893107,0.7571343638525565,0.2921559417566933,0.5440115770080098,0.2648319277214377,2547,817,690,311
flow_only,XGBoost,5,10,16806,3987,20,5,0.5465262101830951,0.27342158859470467,0.5849673202614379,0.5350276963180189,0.37265787647467036,0.5879209907778324,0.32186658907401267,1642,1427,381,537
effort_only,XGBoost,1,22,16676,4117,20,5,0.6208404177799368,0.23259052924791088,0.42118537200504413,0.6684717208182912,0.2996859578286227,0.5623132539079156,0.2257238568825236,2222,1102,459,334
effort_only,XGBoost,2,22,16684,4109,20,5,0.6235093696763203,0.17986164488854728,0.3277310924369748,0.6857142857142857,0.23225806451612904,0.49361455922575215,0.17447344211266855,2328,1067,480,234
effort_only,XGBoost,3,22,16578,4215,20,5,0.46619217081850534,0.2169035153328347,0.7880434782608695,0.3981029031330842,0.34017595307917886,0.622201375957609,0.24191754302059532,1385,2094,156,580
effort_only,XGBoost,4,22,16428,4365,20,5,0.6675830469644902,0.3161764705882353,0.3866133866133866,0.7511890606420928,0.34786516853932586,0.5943025464428555,0.29063650269737556,2527,837,614,387
effort_only,XGBoost,5,22,16806,3987,20,5,0.6014547278655631,0.30253090052972337,0.5599128540305011,0.613880742913001,0.39281620175773785,0.6083815880358153,0.3084254660455852,1884,1185,404,514
spo2_only,XGBoost,1,9,16676,4117,20,5,0.6276414865193102,0.2603626943005181,0.5069356872635561,0.6564380264741275,0.34403080872913994,0.5875193290266971,0.24750012706063604,2182,1142,391,402
spo2_only,XGBoost,2,9,16684,4109,20,5,0.7086882453151618,0.2029520295202952,0.23109243697478993,0.8091310751104566,0.21611001964636542,0.49911944159106936,0.19450596309256812,2747,648,549,165
spo2_only,XGBoost,3,9,16578,4215,20,5,0.6147093712930012,0.2047872340425532,0.41847826086956524,0.6562230526013222,0.275,0.5407393897546772,0.22715444825629555,2283,1196,428,308
spo2_only,XGBoost,4,9,16428,4365,20,5,0.590836197021764,0.26341169379144064,0.43656343656343655,0.6367419738406659,0.32857142857142857,0.5658234452824227,0.28179922670462215,2142,1222,564,437
spo2_only,XGBoost,5,9,16806,3987,20,5,0.6506144971156258,0.36694677871148457,0.7135076252723311,0.631801889866406,0.48464668886422496,0.718231403926112,0.447750050591301,1939,1130,263,655
respiratory_fusion,XGBoost,1,32,16676,4117,20,5,0.6478017974253097,0.2691496837666901,0.48297604035308955,0.6871239470517448,0.3456678700361011,0.6034349520397339,0.2686430650756406,2284,1040,410,383
respiratory_fusion,XGBoost,2,32,16684,4109,20,5,0.7159892917984911,0.23815028901734103,0.28851540616246496,0.8058910162002946,0.2609246358454718,0.5940763934439754,0.22754647309864012,2736,659,508,206
respiratory_fusion,XGBoost,3,32,16578,4215,20,5,0.4763938315539739,0.22023583111449221,0.7866847826086957,0.41075021557918945,0.34413075780089153,0.6263655301373459,0.24026668988739666,1429,2050,157,579
respiratory_fusion,XGBoost,4,32,16428,4365,20,5,0.7138602520045819,0.32729805013927576,0.23476523476523475,0.8564209274673008,0.2734147760325771,0.6006089629751937,0.3004079408911863,2881,483,766,235
respiratory_fusion,XGBoost,5,32,16806,3987,20,5,0.5838976674191121,0.3038644785600847,0.6252723311546841,0.5715216682958618,0.4089775561097257,0.63487783875724,0.36434437697630184,1754,1315,344,574
respiratory_spo2_fusion,XGBoost,1,41,16676,4117,20,5,0.6524168083555988,0.2657856093979442,0.45649432534678436,0.6991576413959085,0.3359628770301624,0.592491194765267,0.2587032006910406,2324,1000,431,362
