regime,window_set,feature_set,model,config_name,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,max_f1,0.2,0.2832884611307795,0.27412602503236944,0.9867174149448501,0.0192436656267312,0.42905393994663427,660,33637,171,12703,0.00596108057158129,
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,max_youden,0.55,0.6700091157702825,0.39030154849225757,0.37199005748019265,0.781875965827915,0.3809258670060452,26816,7481,8085,4789,0.15386602330810772,
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,sensitivity_ge_0.70_max_specificity,0.4,0.4643106993703759,0.29809415214204266,0.710734814354513,0.37181094556375194,0.4200234111409488,12752,21545,3724,9150,0.08254575991826485,
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,max_f1,0.15,0.2843484344194526,0.27478215857130533,0.9895914245766662,0.019622707525439542,0.43012930888956413,673,33624,134,12740,0.009214132102105754,
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,max_youden,0.5,0.6198299802844969,0.34560214856863825,0.43980114960385275,0.6874070618421436,0.38705267115562086,23576,10721,7212,5662,0.12720821144599626,
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,sensitivity_ge_0.70_max_specificity,0.35,0.4270420385406288,0.2904935311010451,0.762156283983222,0.3012508382657375,0.4206555057769394,10332,23965,3062,9812,0.06340712224895961,
all_records_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,max_f1,0.05,0.27364270420385406,0.27296465343381804,0.9987571850240795,0.0014578534565705455,0.42875006252188264,50,34247,16,12858,0.00021503848065007602,
all_records_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,max_youden,0.3,0.5664285260011448,0.3203754622167441,0.5249339754544042,0.5820042569320932,0.39790390956194066,19961,14336,6116,6758,0.10693823238649758,
all_records_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,sensitivity_ge_0.70_max_specificity,0.2,0.3918721248224545,0.28464807147526694,0.8117135311480503,0.23427705047088668,0.4214899366756746,8035,26262,2424,10450,0.04599058161893699,
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,max_f1,0.15,0.2772678128511161,0.27365052272242374,0.9962715550722386,0.00737673849024696,0.42936529191215855,253,34044,48,12826,0.0036482935624855273,
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,max_youden,0.5,0.6223527167115389,0.35150895755681133,0.454171197762933,0.6854826952794705,0.39629930866205776,23510,10787,7027,5847,0.1396538930424036,
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,sensitivity_ge_0.70_max_specificity,0.35,0.40308664221661616,0.2851278013665889,0.7876339909895914,0.2587398314721404,0.41868819291037845,8874,25423,2734,10140,0.04637382246173183,
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,max_f1,0.15,0.2917258485086176,0.2758861533088877,0.9818238309771633,0.03268507449631163,0.4307377747486795,1121,33176,234,12640,0.014508905473474831,
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,max_youden,0.5,0.6308325030209239,0.35337811652241313,0.42496504582880223,0.7081085809254454,0.38587953166878264,24286,10011,7403,5471,0.1330736267542476,
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,sensitivity_ge_0.70_max_specificity,0.35,0.4444891988721884,0.29283227651373867,0.7317849930091658,0.33664752019127037,0.41828353238911337,11546,22751,3453,9421,0.0684325132004362,
all_records_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,max_f1,0.05,0.27296432129910325,0.2729046074253122,0.9997669721920149,0.00014578534565705455,0.42876892582907206,5,34292,3,12871,-8.72424623280521e-05,
all_records_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,max_youden,0.3,0.5716435945814166,0.32915462764470127,0.548625135932888,0.58028398985334,0.41145287195619246,19902,14395,5811,7063,0.12890912578622782,
all_records_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,sensitivity_ge_0.70_max_specificity,0.25,0.47105212948633696,0.30165872885531286,0.7133757961783439,0.3800915531970726,0.42401717491170154,13036,21261,3690,9184,0.09346734937541656,
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,max_f1,0.5,0.6352779871054174,0.20375519564282643,0.5013401043870785,0.6586166211931274,0.289749913376679,53589,27777,7070,7108,0.1599567255802059,
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,max_youden,0.5,0.6352779871054174,0.20375519564282643,0.5013401043870785,0.6586166211931274,0.289749913376679,53589,27777,7070,7108,0.1599567255802059,
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,sensitivity_ge_0.70_max_specificity,0.4,0.4531943397806246,0.17418173103259382,0.7176611651854986,0.4071110783373891,0.2803261977573904,33125,48241,4003,10175,0.12477224352288774,
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,max_f1,0.45,0.5691409193669932,0.19243743447144093,0.5955000705318099,0.5645478455374481,0.29087714462895337,45935,35431,5735,8443,0.16004791606925783,
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,max_youden,0.45,0.5691409193669932,0.19243743447144093,0.5955000705318099,0.5645478455374481,0.29087714462895337,45935,35431,5735,8443,0.16004791606925783,
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,sensitivity_ge_0.70_max_specificity,0.35,0.3848383990622122,0.167409948542024,0.7916490337142051,0.3139517734680333,0.27637491843443357,25545,55821,2954,11224,0.10560080718223852,
all_records_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,max_f1,0.2,0.5433622205476011,0.1828246494496737,0.5986740019748906,0.5337241599685373,0.28010890190578336,43427,37939,5690,8488,0.1323981619434278,
all_records_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,max_youden,0.2,0.5433622205476011,0.1828246494496737,0.5986740019748906,0.5337241599685373,0.28010890190578336,43427,37939,5690,8488,0.1323981619434278,
all_records_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,sensitivity_ge_0.70_max_specificity,0.15,0.3935882943983924,0.1677170496135097,0.7789533079418818,0.3264385615613401,0.276006847688905,26561,54805,3134,11044,0.10539186950322188,
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,max_f1,0.45,0.5171544000669849,0.17442689760570557,0.60375229228382,0.5020647444878696,0.2706590991731617,40851,40515,5618,8560,0.10581703677168974,
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,max_youden,0.55,0.6757933517541657,0.19724605291615602,0.38595006347862887,0.7262984538996633,0.26106870229007634,59096,22270,8706,5472,0.11224851737829211,
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,sensitivity_ge_0.70_max_specificity,0.4,0.43484677216779705,0.16721547127551106,0.7056002257017915,0.38766806774328344,0.2703601108033241,31543,49823,4174,10004,0.09326829344507503,
