regime,window_set,feature_set,model,config_name,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,1,46,37418,9753,20,5,0.6209371475443454,0.4344386979008214,0.43723208818126147,0.7134268537074149,0.4358309171371891,0.606053290810742,0.4155805463516652,4628,1859,1838,1428
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,2,46,37673,9498,20,5,0.5732785849652559,0.3159062885326757,0.500390625,0.6001729605073508,0.3873015873015873,0.5746664654799655,0.3137624824070979,4164,2774,1279,1281
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,3,46,38033,9138,20,5,0.5902823374917925,0.3333333333333333,0.4214123006833713,0.6586715867158671,0.3722334004024145,0.5354110688031709,0.3542500153175795,4284,2220,1524,1110
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,4,46,36741,10430,20,5,0.6350910834132311,0.2092706203135651,0.2923809523809524,0.7214885954381752,0.24394119984108065,0.5026778139827359,0.2208846528918689,6010,2320,1486,614
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,5,46,38819,8352,20,5,0.681154214559387,0.45302826379542394,0.7273120138288678,0.6634647234183505,0.5583015425443689,0.750910253499659,0.5576062727606387,4006,2032,631,1683
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,1,46,37418,9753,20,5,0.6155029221777915,0.42576687116564416,0.42498469075321493,0.7114228456913828,0.42537542139135764,0.6043348414290544,0.4124709126664819,4615,1872,1878,1388
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,2,46,37673,9498,20,5,0.5621183407033059,0.31236798873503874,0.519921875,0.577688094551744,0.3902653569857792,0.5614698940616892,0.3007526139482031,4008,2930,1229,1331
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,3,46,38033,9138,20,5,0.6213613482162399,0.32676174496644295,0.29574791192103267,0.7532287822878229,0.3104822638501395,0.5081575288987514,0.321368804226697,4899,1605,1855,779
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,4,46,36741,10430,20,5,0.623489932885906,0.194991652754591,0.2780952380952381,0.7105642256902761,0.2292443572129539,0.49548608014634427,0.21285893087304553,5919,2411,1516,584
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,5,46,38819,8352,20,5,0.6842672413793104,0.45363192650014356,0.682800345721694,0.6848294137131501,0.5451095394169398,0.7220009730937711,0.4948036249493279,4135,1903,734,1580
all_records_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,1,46,37418,9753,20,5,0.6509791858915206,0.3688212927756654,0.05939987752602572,0.9488207183597965,0.10232067510548523,0.578711570769784,0.3917516263239593,6155,332,3072,194
all_records_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,2,46,37673,9498,20,5,0.6853021688776585,0.35176226675881134,0.198828125,0.8648025367541078,0.25405540304467183,0.5743064126008935,0.31921595435473693,6000,938,2051,509
all_records_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,3,46,38033,9138,20,5,0.7092361567082512,0.4484304932735426,0.037965072133637055,0.9810885608856088,0.07000350017500875,0.53224608698251,0.33389327565411864,6381,123,2534,100
all_records_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,4,46,36741,10430,20,5,0.7639501438159156,0.2108626198083067,0.06285714285714286,0.9406962785114046,0.09684519442406456,0.4676166466586634,0.19180294615286753,7836,494,1968,132
all_records_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,5,46,38819,8352,20,5,0.7273706896551724,0.5383022774327122,0.11235955056179775,0.9630672408082146,0.18591347872720773,0.7024721420058444,0.44145696092146663,5815,223,2054,260
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,1,57,37418,9753,20,5,0.6491335999179739,0.46894904458598724,0.3606858542559706,0.7943579466625559,0.4077535479404638,0.6045754422784049,0.41232416864331833,5153,1334,2088,1178
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,2,57,37673,9498,20,5,0.5847546851968836,0.3182773109243697,0.4734375,0.6258287690977227,0.3806532663316583,0.5678283321922744,0.310719420780025,4342,2596,1348,1212
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,3,57,38033,9138,20,5,0.5973954913547822,0.3371766905578062,0.41078208048595294,0.6729704797047971,0.3703576929659422,0.5341491562694671,0.3479156371749518,4377,2127,1552,1082
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,4,57,36741,10430,20,5,0.6110258868648131,0.20799761265293942,0.3319047619047619,0.6813925570228091,0.2557328930471473,0.49964537243468815,0.20344695565150908,5676,2654,1403,697
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,5,57,38819,8352,20,5,0.6752873563218391,0.44698987746403834,0.7251512532411409,0.6561775422325273,0.5530652603823335,0.7616679282435671,0.5653054695029271,3962,2076,636,1678
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,1,57,37418,9753,20,5,0.6474930790525992,0.4641367806505421,0.340783833435395,0.801911515338369,0.3930084745762712,0.6063509797870743,0.4073497767535908,5202,1285,2153,1113
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,2,57,37673,9498,20,5,0.5770688566013897,0.319812020776651,0.505078125,0.6036321706543673,0.39164016356201725,0.578834042366316,0.3142307080982029,4188,2750,1267,1293
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,3,57,38033,9138,20,5,0.6179689209892756,0.34076551467855815,0.3481397114654518,0.7272447724477245,0.3444131455399061,0.5202299723737556,0.32945703277702615,4730,1774,1717,917
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,4,57,36741,10430,20,5,0.6300095877277085,0.19535850363699342,0.26857142857142857,0.7211284513805523,0.22618808903148185,0.5009705596524323,0.2056893835022297,6007,2323,1536,564
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,5,57,38819,8352,20,5,0.6876197318007663,0.4574068726537684,0.6845289541918755,0.6888042398145081,0.5483815128959668,0.743806762014015,0.5151130041887368,4159,1879,730,1584
all_records_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,1,57,37418,9753,20,5,0.6540551625140982,0.32,0.029393753827311696,0.9685524895945737,0.0538418395961862,0.5864376546205605,0.39534497056331036,6283,204,3170,96
