regime,feature_set,model,postprocessing,smoothing_window_epochs,smoothing_centered,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
sleep_only,spo2_enhanced,XGBoost,raw,0,False,max_f1,0.45,0.645360054770648,0.33067851125746667,0.6191568683682248,0.6526232114467408,0.4311102236421725,8210,4370,1328,2159,0.27178007981496566,
sleep_only,spo2_enhanced,XGBoost,raw,0,False,max_youden,0.45,0.645360054770648,0.33067851125746667,0.6191568683682248,0.6526232114467408,0.4311102236421725,8210,4370,1328,2159,0.27178007981496566,
sleep_only,spo2_enhanced,XGBoost,raw,0,False,sensitivity_ge_0.70_max_specificity,0.35,0.5037032426713138,0.27322349135752555,0.7751648981932894,0.42845786963434024,0.4040358744394619,5390,7190,784,2703,0.20362276782762967,
sleep_only,flow_spo2_enhanced,HistGradientBoosting,raw,0,False,max_f1,0.5,0.6696956494678533,0.339732300105671,0.5531975910524807,0.7019872813990461,0.420949263502455,8831,3749,1558,1929,0.2551848724515269,
sleep_only,flow_spo2_enhanced,HistGradientBoosting,raw,0,False,max_youden,0.5,0.6696956494678533,0.339732300105671,0.5531975910524807,0.7019872813990461,0.420949263502455,8831,3749,1558,1929,0.2551848724515269,
sleep_only,flow_spo2_enhanced,HistGradientBoosting,raw,0,False,sensitivity_ge_0.70_max_specificity,0.4,0.5040144395344495,0.26915945611866504,0.7493547462001721,0.4360095389507154,0.3960591133004926,5485,7095,874,2613,0.18536428515088743,
sleep_only,spo2_flow_spo2,MeanEnsemble,raw,0,False,max_f1,0.5,0.6857534076056513,0.3553703703703704,0.5503297963865788,0.7232909379968203,0.4318667716889839,9099,3481,1568,1919,0.2736207343833992,
sleep_only,spo2_flow_spo2,MeanEnsemble,raw,0,False,max_youden,0.5,0.6857534076056513,0.3553703703703704,0.5503297963865788,0.7232909379968203,0.4318667716889839,9099,3481,1568,1919,0.2736207343833992,
sleep_only,spo2_flow_spo2,MeanEnsemble,raw,0,False,sensitivity_ge_0.70_max_specificity,0.4,0.5559843156780979,0.29152852406539387,0.73128763980499,0.5073926868044515,0.41687101520353115,6383,6197,937,2550,0.2386803266094415,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,15,False,max_f1,0.45,0.6464803634779361,0.3372420958883776,0.6515629480929166,0.6450715421303657,0.4444444444444444,8115,4465,1215,2272,0.29663449022328225,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,15,False,max_youden,0.45,0.6464803634779361,0.3372420958883776,0.6515629480929166,0.6450715421303657,0.4444444444444444,8115,4465,1215,2272,0.29663449022328225,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,15,False,sensitivity_ge_0.70_max_specificity,0.4,0.5545528101076741,0.29437471985656655,0.7533696587324348,0.4994435612082671,0.4233341390701797,6283,6297,860,2627,0.2528132199407018,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,15,True,max_f1,0.55,0.7492998070579449,0.4286091316970177,0.46572985374247206,0.8279014308426074,0.44639912039582186,10415,2165,1863,1624,0.2936312845850795,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,15,True,max_youden,0.45,0.6467293209684446,0.33773165307635283,0.6532836248924577,0.644912559618442,0.4452697419859265,8113,4467,1209,2278,0.2981961845108998,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,15,True,sensitivity_ge_0.70_max_specificity,0.4,0.5548017675981826,0.2945988346033169,0.7539432176656151,0.4996025437201908,0.4236564338087181,6285,6295,858,2629,0.25354576138580587,
