regime,feature_set,model,postprocessing,smoothing_window_epochs,smoothing_centered,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
sleep_only,spo2_enhanced,XGBoost,raw,0,False,1,38,12765,3302,20,5,0.7253179890975167,0.33663366336633666,0.4230171073094868,0.798420458819105,0.3749138525155066,0.6813226244738226,0.3162207066374982,2123,536,371,272
sleep_only,spo2_enhanced,XGBoost,raw,0,False,2,38,12684,3383,20,5,0.629323086018327,0.2827426810477658,0.5318840579710145,0.6542888971407352,0.369215291750503,0.615752326213425,0.2817496847256232,1762,931,323,367
sleep_only,spo2_enhanced,XGBoost,raw,0,False,3,38,13491,2576,21,4,0.6374223602484472,0.41836734693877553,0.8084507042253521,0.572347266881029,0.5513928914505284,0.7636769168063041,0.5842492062670018,1068,798,136,574
sleep_only,spo2_enhanced,XGBoost,raw,0,False,4,38,12973,3094,20,5,0.6664511958629605,0.3128964059196617,0.4365781710914454,0.7309602649006622,0.3645320197044335,0.6358012707808318,0.32390331926423666,1766,650,382,296
sleep_only,spo2_enhanced,XGBoost,raw,0,False,5,38,12355,3712,19,6,0.7494612068965517,0.400726392251816,0.4321148825065274,0.8319755600814664,0.4158291457286432,0.666002846715199,0.3524792153685751,2451,495,435,331
sleep_only,flow_spo2_enhanced,HistGradientBoosting,raw,0,False,1,68,12765,3302,20,5,0.5793458509993943,0.27116564417177913,0.687402799377916,0.5532154945468221,0.388913330400352,0.6556827161136478,0.3255657459385847,1471,1188,201,442
sleep_only,flow_spo2_enhanced,HistGradientBoosting,raw,0,False,2,68,12684,3383,20,5,0.650310375406444,0.30482977038796516,0.5579710144927537,0.6739695506869662,0.3942652329749104,0.6318364304665343,0.2952063587574486,1815,878,305,385
sleep_only,flow_spo2_enhanced,HistGradientBoosting,raw,0,False,3,68,13491,2576,21,4,0.6393633540372671,0.4201312910284464,0.8112676056338028,0.5739549839228296,0.553580009610764,0.7988934679890706,0.6418515228347259,1071,795,134,576
sleep_only,flow_spo2_enhanced,HistGradientBoosting,raw,0,False,4,68,12973,3094,20,5,0.6826115061409179,0.30310880829015546,0.34513274336283184,0.777317880794702,0.32275862068965516,0.6037323082107484,0.287176105732945,1878,538,444,234
sleep_only,flow_spo2_enhanced,HistGradientBoosting,raw,0,False,5,68,12355,3712,19,6,0.7780172413793104,0.45482866043613707,0.381201044386423,0.8811948404616429,0.4147727272727273,0.6703504685735759,0.42030841021592935,2596,350,474,292
sleep_only,spo2_flow_spo2,MeanEnsemble,raw,0,False,1,68,12765,3302,20,5,0.6783767413688674,0.3213981244671782,0.5863141524105754,0.7006393380970289,0.41519823788546256,0.690142402018556,0.3421481459694753,1863,796,266,377
sleep_only,spo2_flow_spo2,MeanEnsemble,raw,0,False,2,68,12684,3383,20,5,0.651492757907183,0.3026634382566586,0.5434782608695652,0.6791682138878574,0.38880248833592534,0.6314142408929216,0.2949805511878308,1829,864,315,375
sleep_only,spo2_flow_spo2,MeanEnsemble,raw,0,False,3,68,13491,2576,21,4,0.6413043478260869,0.4223512336719884,0.819718309859155,0.5734190782422294,0.5574712643678161,0.7886561598961399,0.629797325084586,1070,796,128,582
sleep_only,spo2_flow_spo2,MeanEnsemble,raw,0,False,4,68,12973,3094,20,5,0.6771170006464124,0.3096085409252669,0.38495575221238937,0.7591059602649006,0.3431952662721893,0.6337854568364296,0.3152434292100502,1834,582,417,261
sleep_only,spo2_flow_spo2,MeanEnsemble,raw,0,False,5,68,12355,3712,19,6,0.7615840517241379,0.42242503259452413,0.42297650130548303,0.8496266123557366,0.4227005870841487,0.6764890305747139,0.40431746036407007,2503,443,442,324
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,15,False,1,68,12765,3302,20,5,0.6732283464566929,0.3233387358184765,0.6205287713841369,0.6859721699887176,0.4251465103889185,0.6979909775597066,0.3884907034037962,1824,835,244,399
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,15,False,2,68,12684,3383,20,5,0.6603606266627254,0.3114215283483977,0.5492753623188406,0.688822874118084,0.39748295752490825,0.6474466814123573,0.3064840159959241,1855,838,311,379
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,15,False,3,68,13491,2576,21,4,0.6463509316770186,0.42733188720173537,0.8323943661971831,0.5755627009646302,0.5647396082178691,0.7888652385912474,0.6229627884694775,1074,792,119,591
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,15,False,4,68,12973,3094,20,5,0.6981254040077569,0.30952380952380953,0.30678466076696165,0.8079470198675497,0.30814814814814817,0.6717922795913184,0.3369509066238061,1952,464,470,208
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,15,False,5,68,12355,3712,19,6,0.7680495689655172,0.43085880640465796,0.38642297650130547,0.8672776646300068,0.4074328974535444,0.693458758966887,0.43909969722183106,2555,391,470,296
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,15,True,1,68,12765,3302,20,5,0.6804966686856451,0.3327922077922078,0.6376360808709176,0.6908612260248214,0.43733333333333335,0.7133003497029076,0.42959760542330905,1837,822,233,410
