experiment,model,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp
ecg_only,XGBoost,0.05,0.21940075987111046,0.20216178865801293,0.984142239308025,0.028019962720221274,0.3354215288867052,466,16165,66,4096
ecg_only,XGBoost,0.1,0.22882700908959747,0.20130817610062893,0.9613166746756368,0.045517407251518247,0.3329034405291842,757,15874,161,4001
ecg_only,XGBoost,0.15,0.2625402779781657,0.20572120956695816,0.9382508409418548,0.09343996151764776,0.33745247148288976,1554,15077,257,3905
ecg_only,XGBoost,0.2,0.3074592410907517,0.2123834138667266,0.9082172032676598,0.15711622872948108,0.3442622950819672,2613,14018,382,3780
ecg_only,XGBoost,0.25,0.34920405905833696,0.2159917555771096,0.8560788082652571,0.22235584150081172,0.34495110852938327,3698,12933,599,3563
ecg_only,XGBoost,0.3,0.395854374068196,0.21962616822429906,0.790485343584815,0.2970957849798569,0.3437467349284296,4941,11690,872,3290
ecg_only,XGBoost,0.35,0.4584716010195739,0.2226910454758556,0.6847669389716482,0.40183993746617763,0.33608490566037735,6683,9948,1312,2850
ecg_only,XGBoost,0.4,0.5170970999855721,0.21683845486947306,0.5408457472369054,0.5111538692802597,0.30956473904971465,8501,8130,1911,2251
ecg_only,XGBoost,0.45,0.5662482566248257,0.20220723482526057,0.39620374819798176,0.6088028380734772,0.2677600064950881,10125,6506,2513,1649
ecg_only,XGBoost,0.5,0.6210263069302169,0.19170812603648424,0.27775108121095626,0.706932836269617,0.22684458398744112,11757,4874,3006,1156
ecg_only,XGBoost,0.55,0.6719088154667436,0.18676401318888367,0.1905333974050937,0.7923756839636823,0.18862987630827782,13178,3453,3369,793
ecg_only,XGBoost,0.6,0.7200981099408454,0.18693353474320243,0.1189332051898126,0.8705429619385485,0.14537444933920704,14478,2153,3667,495
ecg_only,XGBoost,0.65,0.7551098927523686,0.17797783933518005,0.061749159058145126,0.9286272623414106,0.09168747770246165,15444,1187,3905,257
ecg_only,XGBoost,0.7,0.7790602606646467,0.16355140186915887,0.02522825564632388,0.9677109013288437,0.043713572023313906,16094,537,4057,105
ecg_only,XGBoost,0.75,0.7937767517914683,0.205607476635514,0.010571840461316675,0.9897781251879021,0.02010968921389397,16461,170,4118,44
ecg_only,XGBoost,0.8,0.798345597075939,0.30864197530864196,0.006006727534839019,0.9966327941795442,0.011784115012962526,16575,56,4137,25
