regime,feature_variant,experiment,model,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index
all_epochs,base,effort_only,XGBoost,0.05,0.2002116096763334,0.2001731435167372,1.0,6.01286753652817e-05,0.3335737757473752,1,16630,0,4162,6.0128675365200834e-05
all_epochs,base,effort_only,XGBoost,0.1,0.20151012359928822,0.200346837516258,0.9992791926958193,0.0018639889363237328,0.33377472814092535,31,16600,3,4159,0.0011431816321429977
all_epochs,base,effort_only,XGBoost,0.15,0.20853171740489587,0.20077877829155513,0.9911100432484382,0.012687150502074439,0.3339134658194034,211,16420,37,4125,0.003797193750512573
all_epochs,base,effort_only,XGBoost,0.2,0.22089164622709564,0.2006068444090728,0.9690052859202306,0.03367205820455775,0.33239924173741037,560,16071,129,4033,0.0026773441247882612
all_epochs,base,effort_only,XGBoost,0.25,0.2464771798201318,0.2017625712804562,0.9351273426237385,0.07413865672539234,0.33191199044857583,1233,15398,270,3892,0.00926599934913086
all_epochs,base,effort_only,XGBoost,0.3,0.2881739046794594,0.20435725004168287,0.883469485824123,0.13919788347062714,0.3319341006544798,2315,14316,485,3677,0.022667369294750106
all_epochs,base,effort_only,XGBoost,0.35,0.3484345693262155,0.21052306933135947,0.820038443056223,0.2304130839997595,0.33503484833611463,3832,12799,749,3413,0.05045152705598244
all_epochs,base,effort_only,XGBoost,0.4,0.42653777713653634,0.220066358915176,0.733061028351754,0.34982863327520897,0.338511039609453,5818,10813,1111,3051,0.08288966162696298
all_epochs,base,effort_only,XGBoost,0.45,0.5121435098350406,0.23087997120748605,0.616530514175877,0.486020082977572,0.3359518198481278,8083,8548,1596,2566,0.10255059715344905
all_epochs,base,effort_only,XGBoost,0.5,0.596114076852787,0.2458603311735061,0.49231138875540603,0.6220912753292045,0.3279449423815621,10346,6285,2113,2049,0.11440266408461053
all_epochs,base,effort_only,XGBoost,0.55,0.6631077766556053,0.2577126299642066,0.36328688130706394,0.7381396187841982,0.3015255758300927,12276,4355,2650,1512,0.1014265000912622
all_epochs,base,effort_only,XGBoost,0.6,0.712932236810465,0.2640376077304779,0.24291206150888997,0.8305573928206361,0.25303466399699664,13813,2818,3151,1011,0.07346945432952601
all_epochs,base,effort_only,XGBoost,0.65,0.7468859712403213,0.2575957727873184,0.14055742431523305,0.8986230533341351,0.18187470853412094,14945,1686,3577,585,0.03918047764936805
all_epochs,base,effort_only,XGBoost,0.7,0.7683835906314626,0.24373040752351097,0.0747236905333974,0.9419758282725031,0.11438028687017286,15666,965,3851,311,0.016699518805900482
all_epochs,base,effort_only,XGBoost,0.75,0.7851680854133603,0.256,0.03844305622296973,0.972040165955144,0.06684771255483601,16166,465,4002,160,0.010483222178113705
all_epochs,base,effort_only,XGBoost,0.8,0.7953638243639687,0.2876712328767123,0.01513695338779433,0.990619926643016,0.02876055695046793,16475,156,4099,63,0.0057568800308103185
all_epochs,base,effort_only,XGBoost,0.85,0.7992593661328332,0.3333333333333333,0.0028832292167227293,0.9985569117912333,0.005717008099094807,16607,24,4150,12,0.0014401410079560861
all_epochs,base,effort_only,XGBoost,0.9,0.7998845765401817,1.0,0.0002402691013935608,1.0,0.00048042277203939464,16631,0,4161,1,0.0002402691013936309
all_epochs,base,effort_only,XGBoost,0.95,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0,0.0
