experiment,model,roc_auc_mean,f1_mean,sensitivity_mean,specificity_mean,average_precision_mean
late_fusion,XGBoost,0.6210311735518346,0.3222162627692514,0.3990519289387785,0.7538881965850635,0.3033398254283577
full_minus_ecg,XGBoost,0.6200515796115463,0.3419044216811095,0.501406639978922,0.661757967871176,0.3046268004604634
respiratory_spo2_fusion,XGBoost,0.6200515796115463,0.3419044216811095,0.501406639978922,0.661757967871176,0.3046268004604634
respiratory_fusion,XGBoost,0.6118727354706978,0.3266231191649534,0.4836427590088338,0.6663415549188783,0.2802417091858331
full_core_fusion,LogisticRegression,0.6059321038359624,0.3276885164825061,0.5014793180745343,0.6269958214042918,0.2985888818742496
flow_only,XGBoost,0.600668396343029,0.334042164070755,0.4766523637734489,0.6631836579459858,0.2737127847732132
full_minus_effort,XGBoost,0.597689068423312,0.3281804432068282,0.4272645483289167,0.7103710391533222,0.2854862413911077
full_core_fusion,XGBoost,0.5965639306347116,0.3118750587021504,0.4071329231076201,0.7199271243474141,0.2776168930146596
full_minus_flow,XGBoost,0.5863829958501047,0.3124065245187858,0.3963606119100124,0.7252397175074959,0.2777840684161716
full_minus_spo2,XGBoost,0.5837300459553243,0.2668564072951077,0.3484507744405128,0.7288932123516675,0.2438790435532794
spo2_only,XGBoost,0.5822866019161956,0.3296717891622318,0.4613154893887358,0.6780672035785956,0.2797419631410845
full_core_fusion,RandomForest,0.577800855533391,0.020745990578911,0.0114766979670442,0.9952061806695132,0.263591186340363
effort_only,XGBoost,0.5761626647139895,0.3225602691441989,0.4966972366693553,0.6234717426441511,0.2482353621517496
ecg_only,XGBoost,0.5409883706321016,0.2141269832101811,0.2805678276313679,0.7084995212646158,0.2200981175189164
